oem,oem_norm,hr_raw,hr_code,matched
29221.031.5700,292210315700,HR6686,HR 6686,1
29221.031.60,2922103160,HR6580,HR 6580,1
29221.031.6000,292210316000,HR6580,HR 6580,1
29221.031.60A,2922103160A,HR6580,HR 6580,1
29221.031.61,2922103161,HR6587,HR 6587,1
29221.031.61A,2922103161A,HR6587,HR 6587,1
29221.031.62,2922103162,HR6586,HR 6586,1
292210316200,292210316200,HR6586,HR 6586,1
29221.031.62A,2922103162A,HR6586,HR 6586,1
29221.031.63,2922103163,HR6673,HR 6673,1
29221.031.6300,292210316300,HR6673,HR 6673,1
29221.031.63A,2922103163A,HR6673,HR 6673,1
29221.031.63H,2922103163H,HR6673,HR 6673,1
29221.031.65,2922103165,HR6419,HR 6419,1
29221.031.6500,292210316500,HR6419,HR 6419,1
29221.031.65A,2922103165A,HR6419,HR 6419,1
29221.031.66,2922103166,HR6604,HR 6604,1
29221.031.6600,292210316600,HR6604,HR 6604,1
29221.031.66A,2922103166A,HR6604,HR 6604,1
29221.031.68,2922103168,HR6689,HR 6689,1
29221.031.6800,292210316800,HR6689,HR 6689,1
29221.031.68A,2922103168A,HR6689,HR 6689,1
29221.033.01,2922103301,HR6521,HR 6521,1
29221.653.02,2922165302,HR8341,HR 8341,1
29221.653.0300,292216530300,HR6573,HR 6573,1
29221.665.02,2922166502,HR8665,HR 8665,1
29221.665.0201,292216650201,HR8665,HR 8665,1
29221.665.0301,292216650301,HR8685,HR 8685,1
29221.665.0401,292216650401,HR8623,HR 8623,1
29221.665.06,2922166506,HR8993,HR 8993,1
29221.665.0601,292216650601,HR8993,HR 8993,1
29221.665.1103,292216651103,HR8878,HR 8878,1
29221.665.12,2922166512,HR8995,HR 8995,1
29221.665.1201,292216651201,HR8995,HR 8995,1
29221.665.13,2922166513,HR8970,HR 8970,1
29221.665.1301,292216651301,HR8970,HR 8970,1
29221.665.2201,292216652201,HR8687,HR 8687,1
29221.666.0101,292216660101,HR8661,HR 8661,1
29221.666.02,2922166602,HR8971,HR 8971,1
29221.666.0201,292216660201,HR8971,HR 8971,1
29221.680.01,2922168001,HR6601,HR 6601,1
29221.680.0300,292216800300,HR6616,HR 6616,1
29221.680.06,2922168006,HR6696,HR 6696,1
29221.680.0601,292216800601,HR6696,HR 6696,1
29221.680.07,2922168007,HR6616,HR 6616,1
29221.680.0701,292216800701,HR6616,HR 6616,1
29221.680.08,2922168008,HR6692,HR 6692,1
29221.680.0801,292216800801,HR6692,HR 6692,1
29221.680.09,2922168009,HR6695,HR 6695,1
29221.680.0901,292216800901,HR6695,HR 6695,1
29221.680.10,2922168010,HR6719,HR 6719,1
29221.680.1001,292216801001,HR6719,HR 6719,1
29-2291,292291,HR47861,HR 47861,0
29-2430-3B,2924303B,HR47231,HR 47231,0
29-2474,292474,HR47293,HR 47293,0
293.256,293256,HR7264,HR 7264,1
294.226,294226,HR7159,HR 7159,1
294.261,294261,HR7140,HR 7140,1
294.361,294361,HR7140,HR 7140,1
