oem,oem_norm,hr_raw,hr_code,matched
0000.0100,00000100,HR6024,HR 6024,1
0000.0101,00000101,HR6035,HR 6035,1
0000.0103,00000103,HR6036,HR 6036,1
0000.0105,00000105,HR6004,HR 6004,1
0000.0106,00000106,HR6020,HR 6020,1
0000.0107,00000107,HR7097,HR 7097,1
0000.0108,00000108,HR7006,HR 7006,1
0000.0109,00000109,HR6195,HR 6195,1
0000.0123,00000123,HR6024,HR 6024,1
000003013,000003013,HR3013,HR 3013,1
000003016,000003016,HR3016,HR 3016,1
000003044,000003044,HR3044,HR 3044,1
000003054,000003054,HR3054,HR 3054,1
000003085,000003085,HR3085,HR 3085,1
000003125,000003125,HR3125,HR 3125,1
00002971000,00002971000,HR6657,HR 6657,1
00003741,00003741,HR47335,HR 47335,0
00008108,00008108,HR80143,HR 80143,0
00008134,00008134,HR8118,HR 8118,1
00008134000,00008134000,HR8118,HR 8118,1
000085-0,0000850,HR42121,HR 42121,0
000085-1,0000851,HR47312,HR 47312,0
0000872,0000872,HR7442,HR 7442,1
0.001,0001,HR2460,HR 2460,1
00018124,00018124,HR8899,HR 8899,1
00018169,00018169,HR80060,HR 80060,1
0.002,0002,HR2169,HR 2169,1
00020306,00020306,HR8800,HR 8800,1
00021331,00021331,HR80077,HR 80077,1
00026032,00026032,HR80490,HR 80490,1
00029033,00029033,HR81742,HR 81742,1
0.003,0003,HR5163,HR 5163,1
0003-06A,000306A,HR46565,HR 46565,0
00032965,00032965,HR80487,HR 80487,0
00033359,00033359,HR80488,HR 80488,0
00034733,00034733,HR80489,HR 80489,0
0.004,0004,HR2450,HR 2450,1
0.005,0005,HR2461,HR 2461,1
000697789,000697789,HR6132,HR 6132,1
000697801,000697801,HR6115,HR 6115,1
0.007,0007,HR1621,HR 1621,1
00075231,00075231,HR8988,HR 8988,1
00088711283,00088711283,HR6005,HR 6005,1
0.009,0009,HR2053,HR 2053,1
000TX3125,000TX3125,HR3125,HR 3125,1
0.01,001,HR6024,HR 6024,1
0.010,0010,HR1177,HR 1177,1
0010087,0010087,HR7839,HR 7839,1
0010122,0010122,HR7484,HR 7484,1
0.0105,00105,HR6004,HR 6004,1
0.0107,00107,HR7097,HR 7097,1
0.012,0012,HR2440,HR 2440,1
001-214001-04,00121400104,HR7457,HR 7457,1
001-214002-05,00121400205,HR7457,HR 7457,1
001-214190-10,00121419010,HR8605,HR 8605,1
001-214192-10,00121419210,HR8517,HR 8517,1
001-214211-10,00121421110,HR8538,HR 8538,1
001-214314-14,00121431414,HR8605,HR 8605,1
001-214701-13,00121470113,HR7470,HR 7470,1
001-214702-13,00121470213,HR7729,HR 7729,1
001-220002-04,00122000204,HR7900,HR 7900,1
00122000403,00122000403,HR7900,HR 7900,1
001-220027-02,00122002702,HR7438,HR 7438,1
001-220027-07,00122002707,HR7438,HR 7438,1
001-220027-27,00122002727,HR7438,HR 7438,1
001-220104-16,00122010416,HR8123,HR 8123,1
001-220192-10,00122019210,HR80114,HR 80114,1
001-220216-16,00122021616,HR8123,HR 8123,1
001-220402-13,00122040213,HR7729,HR 7729,1
001-220402-19,00122040219,HR7729,HR 7729,1
001-220404-13,00122040413,HR80988,HR 80988,0
001-220450-19,00122045019,HR81522,HR 81522,1
001-220501-10,00122050110,HR7432,HR 7432,1
001-220502-10,00122050210,HR7432,HR 7432,1
001-225058-13,00122505813,HR8921,HR 8921,1
001-225605-13,00122560513,HR81001,HR 81001,0
001-228026-10,00122802610,HR8921,HR 8921,1
001-228079-05,00122807905,HR8921,HR 8921,1
001-229084-13,00122908413,HR80118,HR 80118,1
001-229085-13,00122908513,HR81455,HR 81455,1
001-229802-10,00122980210,HR81217,HR 81217,0
001-229901-05,00122990105,HR8921,HR 8921,1
001-229911-05,00122991105,HR80649,HR 80649,0
001-234002-13,00123400213,HR81162,HR 81162,1
001-234080-13,00123408013,HR81162,HR 81162,1
001-234088-13,00123408813,HR80695,HR 80695,0
001-234134-10,00123413410,HR80485,HR 80485,0
001-234151-10,00123415110,HR80081,HR 80081,1
001-234234-10,00123423410,HR80485,HR 80485,0
001-234279-05,00123427905,HR80081,HR 80081,1
0012807,0012807,HR6468,HR 6468,1
001-299901-05,00129990105,HR7960,HR 7960,1
0.013,0013,HR2080/15,HR 2080/15,1
001-330003-94,00133000394,HR7503,HR 7503,1
0.014,0014,HR1153,HR 1153,1
0.015,0015,HR3522,HR 3522,1
0.016,0016,HR3509,HR 3509,1
0.017,0017,HR2151,HR 2151,1
0.018,0018,HR2080/10,HR 2080/10,1
0018994,0018994,HR7398,HR 7398,1
0.019,0019,HR2041,HR 2041,1
0.020,0020,HR2114,HR 2114,1
002010220,002010220,HR6150,HR 6150,1
00218,00218,HR2110,HR 2110,1
00218908057,00218908057,HR42116,HR 42116,1
0.022,0022,HR1120,HR 1120,1
0022418,0022418,HR7452,HR 7452,1
0.023,0023,HR2045,HR 2045,1
0.024,0024,HR2121,HR 2121,1
0.026,0026,HR2063/00,HR 2063/00,1
0026510105,0026510105,HR5623,HR 5623,0
0026510146,0026510146,HR6396,HR 6396,1
0026510152,0026510152,HR82110,HR 82110,0
0026510166,0026510166,HR82112,HR 82112,0
0026510185,0026510185,HR7050,HR 7050,1
0026510231,0026510231,HR80564,HR 80564,0
0026510264,0026510264,HR6376,HR 6376,1
0026510314,0026510314,HR6610,HR 6610,1
0026510325,0026510325,HR6377,HR 6377,1
0026510337,0026510337,HR8050,HR 8050,1
0026510367,0026510367,HR7812,HR 7812,1
0026510389,0026510389,HR7847,HR 7847,1
0026510395,0026510395,HR7753,HR 7753,1
0026510396,0026510396,HR80511,HR 80511,1
0026510401,0026510401,HR7761,HR 7761,1
0026510426,0026510426,HR7756,HR 7756,1
0026510449,0026510449,HR7846,HR 7846,1
0026510456,0026510456,HR7760,HR 7760,1
0026510461,0026510461,HR7626,HR 7626,1
0026510481,0026510481,HR7851,HR 7851,1
0026510484,0026510484,HR7759,HR 7759,1
0026510498,0026510498,HR7861,HR 7861,1
0026510500,0026510500,HR7855,HR 7855,1
0026510501,0026510501,HR7807,HR 7807,1
0026510523,0026510523,HR7748,HR 7748,1
0026510526,0026510526,HR7773,HR 7773,1
0026510533,0026510533,HR7763,HR 7763,1
0026510571,0026510571,HR7675,HR 7675,1
0026510599,0026510599,HR7732,HR 7732,1
0026510647,0026510647,HR8217,HR 8217,1
00265110571,00265110571,HR7675,HR 7675,1
0.027,0027,HR3601,HR 3601,1
0027755,0027755,HR7520,HR 7520,1
0.029,0029,HR3583,HR 3583,1
003006006,003006006,HR6060,HR 6060,1
003011019,003011019,HR7578,HR 7578,1
003011101,003011101,HR6300,HR 6300,1
003011102,003011102,HR6302,HR 6302,1
003011110,003011110,HR6304,HR 6304,1
003011111,003011111,HR6301,HR 6301,1
003011112,003011112,HR6301,HR 6301,1
003011113,003011113,HR6303,HR 6303,1
003021001,003021001,HR7787,HR 7787,1
003021002,003021002,HR8078,HR 8078,1
003021003,003021003,HR6385,HR 6385,1
003021004,003021004,HR7004,HR 7004,1
003021005,003021005,HR7140,HR 7140,1
003021007,003021007,HR7207,HR 7207,1
003021101,003021101,HR7239,HR 7239,1
003021103,003021103,HR6178,HR 6178,1
003021106,003021106,HR6310,HR 6310,1
003021108,003021108,HR7218,HR 7218,1
003021109,003021109,HR7140,HR 7140,1
003021111,003021111,HR7263,HR 7263,1
003021112,003021112,HR7018,HR 7018,1
003021114,003021114,HR7037,HR 7037,1
003021115,003021115,HR7386,HR 7386,1
003031001,003031001,HR7065,HR 7065,1
003031002,003031002,HR7032,HR 7032,1
003031003,003031003,HR7126,HR 7126,1
003031004,003031004,HR7127,HR 7127,1
003031005,003031005,HR7242,HR 7242,1
003031006,003031006,HR7217,HR 7217,1
003031008,003031008,HR7094,HR 7094,1
003031009,003031009,HR7105,HR 7105,1
003031010,003031010,HR8080,HR 8080,1
003031011,003031011,HR7175,HR 7175,1
003031012,003031012,HR7135,HR 7135,1
003031013,003031013,HR7112,HR 7112,1
003031101,003031101,HR7026,HR 7026,1
003031102,003031102,HR7047,HR 7047,1
003031103,003031103,HR7668,HR 7668,1
003031104,003031104,HR8185,HR 8185,1
003031105,003031105,HR7040,HR 7040,1
003031106,003031106,HR7127,HR 7127,1
003031107,003031107,HR7128,HR 7128,1
003031108,003031108,HR7145,HR 7145,1
003031109,003031109,HR7500,HR 7500,1
003031110,003031110,HR7203,HR 7203,1
003031111,003031111,HR7114,HR 7114,1
003031112,003031112,HR7113,HR 7113,1
003031119,003031119,HR7179,HR 7179,1
003031120,003031120,HR7196,HR 7196,1
0030395,0030395,HR7353,HR 7353,1
003040001,003040001,HR6009,HR 6009,1
003040002,003040002,HR6412,HR 6412,1
003040102,003040102,HR6170,HR 6170,1
003040104,003040104,HR6120,HR 6120,1
003040105,003040105,HR7537,HR 7537,1
003040106,003040106,HR6067,HR 6067,1
003041001,003041001,HR6465,HR 6465,1
003041002,003041002,HR6119,HR 6119,1
003041003,003041003,HR6200,HR 6200,1
003041004,003041004,HR6169,HR 6169,1
003041005,003041005,HR6043,HR 6043,1
003041101,003041101,HR6250,HR 6250,1
003041102,003041102,HR6656,HR 6656,1
003041103,003041103,HR6021,HR 6021,1
003041104,003041104,HR6036,HR 6036,1
003041107,003041107,HR6203,HR 6203,1
003041108,003041108,HR6100,HR 6100,1
003041109,003041109,HR7063,HR 7063,1
003041110,003041110,HR6063,HR 6063,1
003041115,003041115,HR6201,HR 6201,1
003041120,003041120,HR7068,HR 7068,1
003050101,003050101,HR6321,HR 6321,1
003050102,003050102,HR6320,HR 6320,1
003050103,003050103,HR6323,HR 6323,1
003050104,003050104,HR6324,HR 6324,1
003050105,003050105,HR6322,HR 6322,1
003050106,003050106,HR6310,HR 6310,1
003050107,003050107,HR6312,HR 6312,1
003050109,003050109,HR6311,HR 6311,1
003060001,003060001,HR6062,HR 6062,1
003060002,003060002,HR6009,HR 6009,1
003060003,003060003,HR6003,HR 6003,1
003060004,003060004,HR6089,HR 6089,1
003060005,003060005,HR6149,HR 6149,1
003060006,003060006,HR6060,HR 6060,1
003060007,003060007,HR6032,HR 6032,1
003060101,003060101,HR6005,HR 6005,1
003060102,003060102,HR6057,HR 6057,1
003060103,003060103,HR6157,HR 6157,1
003060104,003060104,HR6113,HR 6113,1
003060105,003060105,HR6284,HR 6284,1
003060106,003060106,HR6182,HR 6182,1
003060107,003060107,HR6160,HR 6160,1
003060108,003060108,HR6160,HR 6160,1
003060109,003060109,HR6150,HR 6150,1
003061002,003061002,HR6009,HR 6009,1
003071001,003071001,HR7545,HR 7545,1
003071002,003071002,HR7535,HR 7535,1
003071003,003071003,HR7522,HR 7522,1
003071004,003071004,HR7505,HR 7505,1
003071005,003071005,HR7522,HR 7522,1
003071006,003071006,HR8352,HR 8352,1
003071007,003071007,HR7345,HR 7345,1
003071008,003071008,HR7537,HR 7537,1
003071009,003071009,HR7589,HR 7589,1
003071010,003071010,HR7566,HR 7566,1
003071011,003071011,HR7709,HR 7709,1
003071012,003071012,HR8033,HR 8033,1
003071014,003071014,HR8079,HR 8079,1
003071016,003071016,HR80220,HR 80220,1
003071017,003071017,HR8953,HR 8953,1
003071019,003071019,HR7578,HR 7578,1
003071020,003071020,HR7503,HR 7503,1
003071021,003071021,HR7871,HR 7871,1
003071022,003071022,HR80273,HR 80273,0
003071023,003071023,HR7527,HR 7527,1
003071024,003071024,HR7583,HR 7583,1
003071026,003071026,HR7533,HR 7533,1
003071027,003071027,HR7537,HR 7537,1
003071028,003071028,HR7254,HR 7254,1
003071029,003071029,HR7506,HR 7506,1
003071030,003071030,HR7577,HR 7577,1
003071032,003071032,HR7594,HR 7594,1
003071033,003071033,HR7471,HR 7471,1
003071036,003071036,HR7583,HR 7583,1
003071037,003071037,HR7577,HR 7577,1
003071038,003071038,HR7577,HR 7577,1
003071040,003071040,HR7559,HR 7559,1
003071041,003071041,HR7531,HR 7531,1
003071042,003071042,HR7591,HR 7591,1
003071043,003071043,HR8041,HR 8041,1
003071044,003071044,HR8035,HR 8035,1
003071045,003071045,HR8226,HR 8226,1
003071046,003071046,HR7384,HR 7384,1
003071049,003071049,HR7574,HR 7574,1
003071050,003071050,HR7589,HR 7589,1
003071051,003071051,HR7877,HR 7877,1
003071052,003071052,HR7877,HR 7877,1
003071053,003071053,HR7291,HR 7291,1
003071054,003071054,HR8122,HR 8122,1
003071056,003071056,HR8600,HR 8600,1
003071057,003071057,HR7511,HR 7511,1
003071058,003071058,HR7919,HR 7919,1
003071059,003071059,HR8122,HR 8122,1
003071060,003071060,HR7595,HR 7595,1
003071061,003071061,HR7291,HR 7291,1
003071062,003071062,HR7520,HR 7520,1
003071063,003071063,HR8030,HR 8030,1
003071064,003071064,HR7511,HR 7511,1
003071066,003071066,HR8041,HR 8041,1
003071067,003071067,HR7574,HR 7574,1
003071068,003071068,HR8122,HR 8122,1
003071069,003071069,HR8597,HR 8597,1
003071071,003071071,HR7292,HR 7292,1
003071072,003071072,HR7505,HR 7505,1
003071073,003071073,HR7292,HR 7292,1
003071074,003071074,HR7839,HR 7839,1
003071075,003071075,HR6573,HR 6573,1
003071076,003071076,HR7519,HR 7519,1
003071077,003071077,HR8057,HR 8057,1
003071078,003071078,HR8030,HR 8030,1
003071079,003071079,HR7541,HR 7541,1
003071080,003071080,HR7535,HR 7535,1
003071082,003071082,HR8008,HR 8008,1
003071083,003071083,HR8051,HR 8051,1
003071084,003071084,HR8030,HR 8030,1
003071087,003071087,HR8030,HR 8030,1
003071088,003071088,HR8030,HR 8030,1
003071089,003071089,HR8954,HR 8954,1
003071090,003071090,HR8881,HR 8881,1
003071091,003071091,HR8484,HR 8484,1
003071092,003071092,HR7239,HR 7239,1
003071093,003071093,HR8880,HR 8880,1
003071094,003071094,HR8880,HR 8880,1
003071095,003071095,HR8484,HR 8484,1
003071096,003071096,HR8484,HR 8484,1
003071097,003071097,HR7261,HR 7261,1
003071098,003071098,HR80272,HR 80272,1
003071099,003071099,HR7535,HR 7535,1
003072001,003072001,HR7522,HR 7522,1
003072002,003072002,HR8417,HR 8417,1
003072003,003072003,HR7451,HR 7451,1
003072004,003072004,HR7577,HR 7577,1
003072005,003072005,HR7950,HR 7950,1
003072006,003072006,HR8118,HR 8118,1
003072007,003072007,HR7950,HR 7950,1
003072010,003072010,HR7452,HR 7452,1
003072011,003072011,HR8096,HR 8096,1
003072012,003072012,HR7418,HR 7418,1
003072013,003072013,HR8768,HR 8768,1
003072014,003072014,HR8768,HR 8768,1
003072015,003072015,HR7774,HR 7774,1
003072017,003072017,HR8605,HR 8605,1
003072018,003072018,HR7604,HR 7604,1
003072019,003072019,HR7789,HR 7789,1
003072022,003072022,HR7478,HR 7478,1
003072024,003072024,HR7452,HR 7452,1
003072026,003072026,HR7600,HR 7600,1
003072028,003072028,HR7488,HR 7488,1
003072030,003072030,HR7453,HR 7453,1
003072032,003072032,HR7601,HR 7601,1
003072033,003072033,HR7671,HR 7671,1
003072043,003072043,HR8169,HR 8169,1
003072044,003072044,HR7608,HR 7608,1
003072048,003072048,HR80061,HR 80061,1
003072049,003072049,HR81362,HR 81362,1
003072050,003072050,HR7452,HR 7452,1
003072051,003072051,HR80062,HR 80062,1
003072052,003072052,HR80062,HR 80062,1
003072055,003072055,HR8342,HR 8342,1
003072056,003072056,HR8625,HR 8625,1
003072057,003072057,HR8314,HR 8314,1
003072059,003072059,HR8186,HR 8186,1
003072060,003072060,HR81747,HR 81747,1
003072061,003072061,HR80016,HR 80016,1
003072062,003072062,HR80016,HR 80016,1
003072063,003072063,HR7729,HR 7729,1
003072064,003072064,HR80344,HR 80344,1
003072067,003072067,HR80366,HR 80366,1
003080005,003080005,HR5705,HR 5705,1
003081001,003081001,HR7451,HR 7451,1
003081002,003081002,HR6057,HR 6057,1
003081006,003081006,HR7452,HR 7452,1
003081008,003081008,HR7452,HR 7452,1
003081009,003081009,HR8349,HR 8349,1
003081010,003081010,HR7455,HR 7455,1
003081011,003081011,HR7457,HR 7457,1
003081013,003081013,HR8350,HR 8350,1
003081014,003081014,HR7433,HR 7433,1
003081015,003081015,HR7782,HR 7782,1
003081018,003081018,HR7604,HR 7604,1
003081019,003081019,HR7789,HR 7789,1
003081020,003081020,HR7418,HR 7418,1
003081021,003081021,HR7478,HR 7478,1
003081022,003081022,HR7478,HR 7478,1
003081023,003081023,HR7656,HR 7656,1
003081024,003081024,HR7452,HR 7452,1
003081025,003081025,HR7650,HR 7650,1
003081026,003081026,HR7600,HR 7600,1
003081027,003081027,HR7613,HR 7613,1
003081028,003081028,HR7488,HR 7488,1
003081030,003081030,HR7453,HR 7453,1
003081031,003081031,HR7453,HR 7453,1
003081032,003081032,HR7601,HR 7601,1
003081033,003081033,HR7671,HR 7671,1
003081034,003081034,HR7813,HR 7813,1
003081042,003081042,HR7774,HR 7774,1
003081043,003081043,HR8169,HR 8169,1
003081044,003081044,HR7608,HR 7608,1
003081045,003081045,HR7687,HR 7687,1
003081046,003081046,HR7608,HR 7608,1
003090005,003090005,HR81694,HR 81694,0
003090101,003090101,HR42019,HR 42019,1
0.031,0031,HR3504,HR 3504,1
003101101,003101101,HR7239,HR 7239,1
003101102,003101102,HR7647,HR 7647,1
003101106,003101106,HR46266,HR 46266,1
003101110,003101110,HR7798,HR 7798,1
003101113,003101113,HR46145,HR 46145,1
003101115,003101115,HR46116,HR 46116,1
003101119,003101119,HR7294,HR 7294,1
003121101,003121101,HR7698,HR 7698,1
003121102,003121102,HR7848,HR 7848,1
003130001,003130001,HR5705,HR 5705,1
003130002,003130002,HR5711,HR 5711,1
003130003,003130003,HR5707,HR 5707,1
003130004,003130004,HR5719,HR 5719,1
003130005,003130005,HR5705,HR 5705,1
003131111,003131111,HR8962,HR 8962,1
003140075,003140075,HR7973,HR 7973,1
003140076,003140076,HR8187,HR 8187,1
003141003,003141003,HR7484,HR 7484,1
003141004,003141004,HR7666,HR 7666,1
003141005,003141005,HR7483,HR 7483,1
003141006,003141006,HR7439,HR 7439,1
003141007,003141007,HR7459,HR 7459,1
003141008,003141008,HR8190,HR 8190,1
003141010,003141010,HR7777,HR 7777,1
003141011,003141011,HR80215,HR 80215,1
003141012,003141012,HR7432,HR 7432,1
003141013,003141013,HR7644,HR 7644,1
003141014,003141014,HR8351,HR 8351,1
003141015,003141015,HR7437,HR 7437,1
003141016,003141016,HR7483,HR 7483,1
003141017,003141017,HR7434,HR 7434,1
003141018,003141018,HR7473,HR 7473,1
003141019,003141019,HR8087,HR 8087,1
003141021,003141021,HR7669,HR 7669,1
003141022,003141022,HR7796,HR 7796,1
003141023,003141023,HR7434,HR 7434,1
003141024,003141024,HR7888,HR 7888,1
003141025,003141025,HR7890,HR 7890,1
003141026,003141026,HR7887,HR 7887,1
003141027,003141027,HR7918,HR 7918,1
003141028,003141028,HR7685,HR 7685,1
003141030,003141030,HR7666,HR 7666,1
003141031,003141031,HR7484,HR 7484,1
003141032,003141032,HR7971,HR 7971,1
003141033,003141033,HR7889,HR 7889,1
003141034,003141034,HR7971,HR 7971,1
003141036,003141036,HR8597,HR 8597,1
003141037,003141037,HR7971,HR 7971,1
003141038,003141038,HR8397,HR 8397,1
003141039,003141039,HR7808,HR 7808,1
003141040,003141040,HR7470,HR 7470,1
003141041,003141041,HR7768,HR 7768,1
003141042,003141042,HR7694,HR 7694,1
003141043,003141043,HR7800,HR 7800,1
003141044,003141044,HR7612,HR 7612,1
003141045,003141045,HR8103,HR 8103,1
003141046,003141046,HR7470,HR 7470,1
003141047,003141047,HR8760,HR 8760,1
003141048,003141048,HR8397,HR 8397,1
003141049,003141049,HR8397,HR 8397,1
003141050,003141050,HR7729,HR 7729,1
003141051,003141051,HR8466,HR 8466,1
003141052,003141052,HR8113,HR 8113,1
003141053,003141053,HR8112,HR 8112,1
003141054,003141054,HR6543,HR 6543,1
003141055,003141055,HR8112,HR 8112,1
003141056,003141056,HR7711,HR 7711,1
003141057,003141057,HR8101,HR 8101,1
003141058,003141058,HR80650,HR 80650,0
003141059,003141059,HR7207,HR 7207,1
003141060,003141060,HR8099,HR 8099,1
003141061,003141061,HR7892,HR 7892,1
003141062,003141062,HR7686,HR 7686,1
003141063,003141063,HR8600,HR 8600,1
003141064,003141064,HR8124,HR 8124,1
003141065,003141065,HR7730,HR 7730,1
003141067,003141067,HR7484,HR 7484,1
003141068,003141068,HR7906,HR 7906,1
003141069,003141069,HR7896,HR 7896,1
003141070,003141070,HR7762,HR 7762,1
003141071,003141071,HR7432,HR 7432,1
003141072,003141072,HR7918,HR 7918,1
003141073,003141073,HR8318,HR 8318,1
003141074,003141074,HR7793,HR 7793,1
003150001,003150001,HR6018,HR 6018,1
003150101,003150101,HR6097,HR 6097,1
003150102,003150102,HR6178,HR 6178,1
003151101,003151101,HR6018,HR 6018,1
003160001,003160001,HR6506,HR 6506,1
003160002,003160002,HR6505,HR 6505,1
003160003,003160003,HR6512,HR 6512,1
003160004,003160004,HR6501,HR 6501,1
003160005,003160005,HR6511,HR 6511,1
003160006,003160006,HR6509,HR 6509,1
003160007,003160007,HR6510,HR 6510,1
003160101,003160101,HR6501,HR 6501,1
003160102,003160102,HR6500,HR 6500,1
003160103,003160103,HR6502,HR 6502,1
003160104,003160104,HR6503,HR 6503,1
003160105,003160105,HR6504,HR 6504,1
003160106,003160106,HR6574,HR 6574,1
003160107,003160107,HR6513,HR 6513,1
003160108,003160108,HR6519,HR 6519,1
003160109,003160109,HR6687,HR 6687,1
003160110,003160110,HR6683,HR 6683,1
003160111,003160111,HR6683,HR 6683,1
003160112,003160112,HR6517,HR 6517,1
003160113,003160113,HR6522,HR 6522,1
003160114,003160114,HR6514,HR 6514,1
003160115,003160115,HR6515,HR 6515,1
003160116,003160116,HR6521,HR 6521,1
003161101,003161101,HR6518,HR 6518,1
003161102,003161102,HR6516,HR 6516,1
003162201,003162201,HR6595,HR 6595,1
003162202,003162202,HR6573,HR 6573,1
003162203,003162203,HR6572,HR 6572,1
003162204,003162204,HR6686,HR 6686,1
003162205,003162205,HR6673,HR 6673,1
003162206,003162206,HR6604,HR 6604,1
003162207,003162207,HR6596,HR 6596,1
003162208,003162208,HR6586,HR 6586,1
003162209,003162209,HR6419,HR 6419,1
003162210,003162210,HR6580,HR 6580,1
0031692,0031692,HR6170,HR 6170,1
003169200,003169200,HR6170,HR 6170,1
003171054,003171054,HR8122,HR 8122,1
003171102,003171102,HR46045,HR 46045,1
003171103,003171103,HR46056,HR 46056,1
003180101,003180101,HR42078,HR 42078,1
003181001,003181001,HR7751,HR 7751,1
003181104,003181104,HR7495,HR 7495,1
003191001,003191001,HR7716,HR 7716,1
003191002,003191002,HR7719,HR 7719,1
0.032,0032,HR1123,HR 1123,1
003201001,003201001,HR7605,HR 7605,1
003201002,003201002,HR7618,HR 7618,1
003201004,003201004,HR7477,HR 7477,1
003201005,003201005,HR7443,HR 7443,1
003201006,003201006,HR7491,HR 7491,1
003201007,003201007,HR7929,HR 7929,1
003201008,003201008,HR7728,HR 7728,1
003201009,003201009,HR7840,HR 7840,1
003201010,003201010,HR7728,HR 7728,1
003201011,003201011,HR7731,HR 7731,1
003201012,003201012,HR7728,HR 7728,1
003201013,003201013,HR7471,HR 7471,1
003201014,003201014,HR7737,HR 7737,1
003201015,003201015,HR7879,HR 7879,1
003201016,003201016,HR7630,HR 7630,1
003201017,003201017,HR8207,HR 8207,1
003201018,003201018,HR7898,HR 7898,1
003201019,003201019,HR8491,HR 8491,1
003201020,003201020,HR8358,HR 8358,1
003211001,003211001,HR7239,HR 7239,1
003220101,003220101,HR6305,HR 6305,1
003220102,003220102,HR6307,HR 6307,1
003220103,003220103,HR6308,HR 6308,1
003220104,003220104,HR6309,HR 6309,1
003220105,003220105,HR6316,HR 6316,1
003220106,003220106,HR6317,HR 6317,1
003220107,003220107,HR6319,HR 6319,1
003220108,003220108,HR6306,HR 6306,1
003220109,003220109,HR6349,HR 6349,1
003220110,003220110,HR6328,HR 6328,1
003251001,003251001,HR7468,HR 7468,1
003251002,003251002,HR7736,HR 7736,1
003251003,003251003,HR7456,HR 7456,1
003251007,003251007,HR7627,HR 7627,1
003261001,003261001,HR7460,HR 7460,1
003261002,003261002,HR8357,HR 8357,1
003261003,003261003,HR7462,HR 7462,1
003270102,003270102,HR2287T29,HR 2287 T29,1
003281001,003281001,HR8356,HR 8356,1
003281002,003281002,HR7679,HR 7679,1
003281003,003281003,HR7810,HR 7810,1
003281004,003281004,HR7455,HR 7455,1
003281005,003281005,HR7494,HR 7494,1
003281006,003281006,HR7456,HR 7456,1
003281007,003281007,HR7494,HR 7494,1
003281008,003281008,HR7456,HR 7456,1
003281009,003281009,HR8205,HR 8205,1
003281010,003281010,HR81031,HR 81031,1
003281012,003281012,HR7170,HR 7170,1
003281013,003281013,HR80502,HR 80502,0
003281014,003281014,HR7736,HR 7736,1
003281015,003281015,HR80359,HR 80359,1
003281017,003281017,HR80344,HR 80344,1
003281018,003281018,HR80359,HR 80359,1
003281021,003281021,HR80356,HR 80356,1
003301001,003301001,HR7004,HR 7004,1
003301002,003301002,HR7026,HR 7026,1
003301003,003301003,HR7156,HR 7156,1
003301004,003301004,HR7035,HR 7035,1
003301005,003301005,HR7041,HR 7041,1
003301006,003301006,HR7146,HR 7146,1
003301007,003301007,HR7173,HR 7173,1
003301008,003301008,HR7125,HR 7125,1
003301010,003301010,HR7156,HR 7156,1
003301011,003301011,HR7125,HR 7125,1
003301012,003301012,HR7040,HR 7040,1
003301013,003301013,HR7217,HR 7217,1
003301014,003301014,HR7039,HR 7039,1
003301015,003301015,HR7472,HR 7472,1
003301016,003301016,HR7032,HR 7032,1
003301017,003301017,HR7151,HR 7151,1
003301018,003301018,HR7180,HR 7180,1
003301019,003301019,HR7668,HR 7668,1
003301021,003301021,HR7094,HR 7094,1
003301022,003301022,HR7151,HR 7151,1
003301023,003301023,HR7299,HR 7299,1
003301024,003301024,HR7787,HR 7787,1
003301025,003301025,HR7254,HR 7254,1
003301026,003301026,HR7108,HR 7108,1
003301027,003301027,HR7472,HR 7472,1
003301029,003301029,HR7026,HR 7026,1
003310101,003310101,HR7214,HR 7214,1
003310102,003310102,HR7230,HR 7230,1
003310103,003310103,HR7253,HR 7253,1
003310104,003310104,HR7253,HR 7253,1
003310105,003310105,HR7225,HR 7225,1
003310106,003310106,HR7353,HR 7353,1
003310107,003310107,HR8074,HR 8074,1
003310108,003310108,HR7253,HR 7253,1
003310109,003310109,HR7230,HR 7230,1
003310110,003310110,HR7231,HR 7231,1
003310111,003310111,HR7224,HR 7224,1
003310112,003310112,HR8066,HR 8066,1
003310113,003310113,HR7224,HR 7224,1
003310118,003310118,HR7388,HR 7388,1
003311001,003311001,HR7229,HR 7229,1
003311002,003311002,HR7228,HR 7228,1
003311003,003311003,HR7127,HR 7127,1
003311004,003311004,HR7195,HR 7195,1
003311005,003311005,HR7269,HR 7269,1
003311007,003311007,HR7578,HR 7578,1
003311008,003311008,HR7566,HR 7566,1
003311009,003311009,HR8970,HR 8970,1
003311101,003311101,HR7128,HR 7128,1
003311102,003311102,HR7344,HR 7344,1
003311103,003311103,HR8077,HR 8077,1
003311104,003311104,HR7140,HR 7140,1
003311105,003311105,HR6045,HR 6045,1
003311106,003311106,HR7131,HR 7131,1
003311107,003311107,HR7386,HR 7386,1
003311108,003311108,HR7223,HR 7223,1
003311110,003311110,HR7218,HR 7218,1
003311112,003311112,HR7593,HR 7593,1
003311113,003311113,HR6488,HR 6488,1
003311114,003311114,HR7397,HR 7397,1
003311115,003311115,HR7378,HR 7378,1
003311116,003311116,HR7378,HR 7378,1
003311117,003311117,HR8157,HR 8157,1
003311118,003311118,HR7227,HR 7227,1
003311119,003311119,HR7218,HR 7218,1
003311122,003311122,HR7287,HR 7287,1
003311123,003311123,HR7398,HR 7398,1
