code,code_norm,pin,function,volts,src
BSC25-Z1003,BSC25Z1003,3,H2,,datapin_a
BSC25-Z1003,BSC25Z1003,4,B+110,110.0,datapin_a
BSC25-Z1003,BSC25Z1003,5,H3,,datapin_a
BSC25-Z1003,BSC25Z1003,6,H4,,datapin_a
BSC25-Z1003,BSC25Z1003,7,GND,,datapin_a
BSC25-Z1003,BSC25Z1003,8,HTR,,datapin_a
BSC25-Z1003,BSC25Z1003,9,ABL,,datapin_a
BSC25-Z1003,BSC25Z1003,10,AFC,,datapin_a
BSC25-Z2705,BSC25Z2705,1,H1,,datapin_a
BSC25-Z2705,BSC25Z2705,2,COL,,datapin_a
BSC25-Z2705,BSC25Z2705,3,H2,,datapin_a
BSC25-Z2705,BSC25Z2705,4,B+110,110.0,datapin_a
BSC25-Z2705,BSC25Z2705,5,H3,,datapin_a
BSC25-Z2705,BSC25Z2705,6,H4,,datapin_a
BSC25-Z2705,BSC25Z2705,7,GND,,datapin_a
BSC25-Z2705,BSC25Z2705,8,HTR,,datapin_a
BSC25-Z2705,BSC25Z2705,9,ABL,,datapin_a
BSC25-Z2705,BSC25Z2705,10,AFC,,datapin_a
BSC25-Z2706,BSC25Z2706,1,H1,,datapin_a
BSC25-Z2706,BSC25Z2706,2,COL,,datapin_a
BSC25-Z2706,BSC25Z2706,3,H2,,datapin_a
BSC25-Z2706,BSC25Z2706,4,B+110,110.0,datapin_a
BSC25-Z2706,BSC25Z2706,5,H3,,datapin_a
BSC25-Z2706,BSC25Z2706,6,H4,,datapin_a
BSC25-Z2706,BSC25Z2706,7,GND,,datapin_a
BSC25-Z2706,BSC25Z2706,8,HTR,,datapin_a
BSC25-Z2706,BSC25Z2706,9,ABL,,datapin_a
BSC25-Z2706,BSC25Z2706,10,AFC,,datapin_a
BSC25-N0313,BSC25N0313,1,H1,,datapin_a
BSC25-N0313,BSC25N0313,2,COL,,datapin_a
BSC25-N0313,BSC25N0313,3,H2,,datapin_a
BSC25-N0313,BSC25N0313,4,B+110,110.0,datapin_a
BSC25-N0313,BSC25N0313,5,H3,,datapin_a
BSC25-N0313,BSC25N0313,6,H4,,datapin_a
BSC25-N0313,BSC25N0313,7,GND,,datapin_a
BSC25-N0313,BSC25N0313,8,HTR,,datapin_a
BSC25-N0313,BSC25N0313,9,ABL,,datapin_a
BSC25-N0313,BSC25N0313,10,AFC,,datapin_a
BSC 25=0252S,BSC25=0252S,1,COL,,datapin_a
BSC 25=0252S,BSC25=0252S,2,B+,,datapin_a
BSC 25=0252S,BSC25=0252S,3,NC,,datapin_a
BSC 25=0252S,BSC25=0252S,4,NC,,datapin_a
BSC 25=0252S,BSC25=0252S,5,NC,,datapin_a
BSC 25=0252S,BSC25=0252S,6,AFC,,datapin_a
BSC 25=0252S,BSC25=0252S,7,GND,,datapin_a
BSC 25=0252S,BSC25=0252S,8,ABL,,datapin_a
BSC 25=0252S,BSC25=0252S,9,200VOL,,datapin_a
BSC 25=0252S,BSC25=0252S,10,H/T,,datapin_a
JF0501-1619,JF05011619,1,185V,185.0,datapin_a
JF0501-1619,JF05011619,2,H+,,datapin_a
JF0501-1619,JF05011619,3,AFC,,datapin_a
JF0501-1619,JF05011619,4,B+,,datapin_a
JF0501-1619,JF05011619,5,16V,16.0,datapin_a
JF0501-1619,JF05011619,6,24V,24.0,datapin_a
JF0501-1619,JF05011619,7,ABL,,datapin_a
JF0501-1619,JF05011619,8,GND,,datapin_a
JF0501-1619,JF05011619,9,NC,,datapin_a
JF0501-1619,JF05011619,10,H/T,,datapin_a
"BSC25-0299D,","BSC250299D,",1,185V,185.0,datapin_a
"BSC25-0299D,","BSC250299D,",2,H+,,datapin_a
"BSC25-0299D,","BSC250299D,",3,AFC,,datapin_a
"BSC25-0299D,","BSC250299D,",4,B+,,datapin_a
"BSC25-0299D,","BSC250299D,",5,16V,16.0,datapin_a
"BSC25-0299D,","BSC250299D,",6,24V,24.0,datapin_a
"BSC25-0299D,","BSC250299D,",7,ABL,,datapin_a
"BSC25-0299D,","BSC250299D,",8,GND,,datapin_a
"BSC25-0299D,","BSC250299D,",9,NC,,datapin_a
"BSC25-0299D,","BSC250299D,",10,H/T,,datapin_a
JF0501-19577,JF050119577,1,16.5V,16.5,datapin_a
JF0501-19577,JF050119577,2,NC,,datapin_a
JF0501-19577,JF050119577,3,COL,,datapin_a
JF0501-19577,JF050119577,4,46V,46.0,datapin_a
JF0501-19577,JF050119577,5,185V,185.0,datapin_a
JF0501-19577,JF050119577,6,GND,,datapin_a
JF0501-19577,JF050119577,7,NC,,datapin_a
JF0501-19577,JF050119577,8,ABL,,datapin_a
JF0501-19577,JF050119577,9,B+125V,125.0,datapin_a
JF0501-19577,JF050119577,10,COL,,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,1,16.5V,16.5,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,2,NC,,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,3,COL,,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,4,46V,46.0,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,5,185V,185.0,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,6,GND,,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,7,NC,,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,8,ABL,,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,9,B+125V,125.0,datapin_a
H_B+_GRND_+VID_+VID_H/T_NC_BCL_12VOL_HSINC-12VOL,HB+GRND+VID+VIDHTNCBCL12VOLHSINC12VOL,10,COL,,datapin_a
FCV 20A001,FCV20A001,1,16.5V,16.5,datapin_a
FCV 20A001,FCV20A001,2,NC,,datapin_a
FCV 20A001,FCV20A001,3,COL,,datapin_a
FCV 20A001,FCV20A001,4,46V,46.0,datapin_a
FCV 20A001,FCV20A001,5,185V,185.0,datapin_a
FCV 20A001,FCV20A001,6,GND,,datapin_a
FCV 20A001,FCV20A001,7,NC,,datapin_a
FCV 20A001,FCV20A001,8,ABL,,datapin_a
FCV 20A001,FCV20A001,9,B+125V,125.0,datapin_a
FCV 20A001,FCV20A001,10,COL,,datapin_a
154-177E,154177E,1,COL,,datapin_a
154-177E,154177E,2,180V,180.0,datapin_a
154-177E,154177E,3,92V,92.0,datapin_a
154-177E,154177E,4,125VBOOST,,datapin_a
154-177E,154177E,5,24V,24.0,datapin_a
154-177E,154177E,6,12V,12.0,datapin_a
154-177E,154177E,7,GND,,datapin_a
154-177E,154177E,8,ABL,,datapin_a
154-177E,154177E,9,COL,,datapin_a
154-177E,154177E,10,AFC,,datapin_a
FCM 1411L01,FCM1411L01,1,16.5V,16.5,datapin_a
FCM 1411L01,FCM1411L01,2,AFC,,datapin_a
FCM 1411L01,FCM1411L01,3,COL,,datapin_a
FCM 1411L01,FCM1411L01,4,24V,24.0,datapin_a
FCM 1411L01,FCM1411L01,5,180V,180.0,datapin_a
FCM 1411L01,FCM1411L01,6,GND,,datapin_a
FCM 1411L01,FCM1411L01,7,B+90V,90.0,datapin_a
FCM 1411L01,FCM1411L01,8,ABL,,datapin_a
FCM 1411L01,FCM1411L01,9,125VBOOST,,datapin_a
FCM 1411L01,FCM1411L01,10,COL,,datapin_a
DCF 2077,DCF2077,1,COL,,datapin_a
DCF 2077,DCF2077,2,B+,,datapin_a
DCF 2077,DCF2077,3,AFC,,datapin_a
DCF 2077,DCF2077,4,125VBOOST,,datapin_a
DCF 2077,DCF2077,5,16.5V,16.5,datapin_a
DCF 2077,DCF2077,6,ABL,,datapin_a
DCF 2077,DCF2077,7,24V,24.0,datapin_a
DCF 2077,DCF2077,8,GND,,datapin_a
DCF 2077,DCF2077,9,180V,180.0,datapin_a
DCF 2077,DCF2077,10,COL,,datapin_a
FTK 14B011,FTK14B011,1,COL,,datapin_a
FTK 14B011,FTK14B011,2,B+,,datapin_a
FTK 14B011,FTK14B011,3,25V,25.0,datapin_a
FTK 14B011,FTK14B011,4,GND,,datapin_a
FTK 14B011,FTK14B011,5,180V,180.0,datapin_a
FTK 14B011,FTK14B011,6,COL,,datapin_a
FTK 14B011,FTK14B011,7,ABL,,datapin_a
FTK 14B011,FTK14B011,8,GND,,datapin_a
FTK 14B011,FTK14B011,9,AFC,,datapin_a
FTK 14B011,FTK14B011,10,15V,15.0,datapin_a
FCK 1411E10A,FCK1411E10A,1,190V,190.0,datapin_a
FCK 1411E10A,FCK1411E10A,2,COL,,datapin_a
FCK 1411E10A,FCK1411E10A,3,NC,,datapin_a
FCK 1411E10A,FCK1411E10A,4,B+,,datapin_a
FCK 1411E10A,FCK1411E10A,5,NC,,datapin_a
FCK 1411E10A,FCK1411E10A,6,24V,24.0,datapin_a
FCK 1411E10A,FCK1411E10A,7,ABL,,datapin_a
FCK 1411E10A,FCK1411E10A,8,GND,,datapin_a
FCK 1411E10A,FCK1411E10A,9,15V,15.0,datapin_a
FCK 1411E10A,FCK1411E10A,10,COL,,datapin_a
JF 0208-0208C,JF02080208C,1,COL,,datapin_a
JF 0208-0208C,JF02080208C,2,B+,,datapin_a
JF 0208-0208C,JF02080208C,3,GND,,datapin_a
JF 0208-0208C,JF02080208C,4,185V,185.0,datapin_a
JF 0208-0208C,JF02080208C,5,COL,,datapin_a
JF 0208-0208C,JF02080208C,6,ABL,,datapin_a
JF 0208-0208C,JF02080208C,7,GND,,datapin_a
JF 0208-0208C,JF02080208C,8,15V,15.0,datapin_a
JF 0208-0208C,JF02080208C,9,AFC,,datapin_a
JF 0208-0208C,JF02080208C,10,24V,24.0,datapin_a
JF 0208-0210B,JF02080210B,1,COL,,datapin_a
JF 0208-0210B,JF02080210B,2,B+,,datapin_a
JF 0208-0210B,JF02080210B,3,180V,180.0,datapin_a
JF 0208-0210B,JF02080210B,4,14V,14.0,datapin_a
JF 0208-0210B,JF02080210B,5,24V,24.0,datapin_a
JF 0208-0210B,JF02080210B,6,COL,,datapin_a
JF 0208-0210B,JF02080210B,7,GND,,datapin_a
JF 0208-0210B,JF02080210B,8,ABL,,datapin_a
JF 0208-0210B,JF02080210B,9,AFC,,datapin_a
JF 0208-0210B,JF02080210B,10,NC,,datapin_a
JF 0501-0501,JF05010501,1,COL,,datapin_a
JF 0501-0501,JF05010501,2,B+,,datapin_a
JF 0501-0501,JF05010501,3,180V,180.0,datapin_a
JF 0501-0501,JF05010501,4,14V,14.0,datapin_a
JF 0501-0501,JF05010501,5,24V,24.0,datapin_a
JF 0501-0501,JF05010501,6,COL,,datapin_a
JF 0501-0501,JF05010501,7,GND,,datapin_a
JF 0501-0501,JF05010501,8,ABL,,datapin_a
JF 0501-0501,JF05010501,9,AFC,,datapin_a
JF 0501-0501,JF05010501,10,NC,,datapin_a
L40B17100,L40B17100,1,COL,,datapin_a
L40B17100,L40B17100,2,B+,,datapin_a
L40B17100,L40B17100,3,NC,,datapin_a
L40B17100,L40B17100,4,180V,180.0,datapin_a
L40B17100,L40B17100,5,AFC,,datapin_a
L40B17100,L40B17100,6,GND,,datapin_a
L40B17100,L40B17100,7,ABL,,datapin_a
L40B17100,L40B17100,8,NC,,datapin_a
L40B17100,L40B17100,9,COL,,datapin_a
L40B17100,L40B17100,10,GND,,datapin_a
L40B09000,L40B09000,1,COL,,datapin_a
L40B09000,L40B09000,2,B+,,datapin_a
L40B09000,L40B09000,3,NC,,datapin_a
L40B09000,L40B09000,4,AFC,,datapin_a
L40B09000,L40B09000,5,GND,,datapin_a
L40B09000,L40B09000,6,COL,,datapin_a
L40B09000,L40B09000,7,ABL,,datapin_a
L40B09000,L40B09000,8,16V,16.0,datapin_a
L40B09000,L40B09000,9,NC,,datapin_a
L40B09000,L40B09000,10,180V,180.0,datapin_a
L40B05500,L40B05500,1,COL,,datapin_a
L40B05500,L40B05500,2,B+,,datapin_a
L40B05500,L40B05500,3,NC,,datapin_a
L40B05500,L40B05500,4,AFC,,datapin_a
L40B05500,L40B05500,5,GND,,datapin_a
L40B05500,L40B05500,6,COL,,datapin_a
L40B05500,L40B05500,7,GND,,datapin_a
L40B05500,L40B05500,8,NC,,datapin_a
L40B05500,L40B05500,9,NC,,datapin_a
L40B05500,L40B05500,10,ABL,,datapin_a
L40B09001,L40B09001,1,COL,,datapin_a
L40B09001,L40B09001,2,B+,,datapin_a
L40B09001,L40B09001,3,NC,,datapin_a
L40B09001,L40B09001,4,AFC,,datapin_a
L40B09001,L40B09001,5,GND,,datapin_a
L40B09001,L40B09001,6,COL,,datapin_a
L40B09001,L40B09001,7,ABL,,datapin_a
L40B09001,L40B09001,8,NC,,datapin_a
L40B09001,L40B09001,9,NC,,datapin_a
L40B09001,L40B09001,10,180V,180.0,datapin_a
BSC 24-08B,BSC2408B,1,COL,,datapin_a
BSC 24-08B,BSC2408B,2,B+,,datapin_a
BSC 24-08B,BSC2408B,3,NC,,datapin_a
BSC 24-08B,BSC2408B,4,AFC,,datapin_a
BSC 24-08B,BSC2408B,5,GND,,datapin_a
BSC 24-08B,BSC2408B,6,COL,,datapin_a
BSC 24-08B,BSC2408B,7,ABL,,datapin_a
BSC 24-08B,BSC2408B,8,NC,,datapin_a
BSC 25-N1616,BSC25N1616,1,COL,,datapin_a
BSC 25-N1616,BSC25N1616,2,B+,,datapin_a
BSC 25-N1616,BSC25N1616,3,NC,,datapin_a
BSC 25-N1616,BSC25N1616,4,AFC,,datapin_a
BSC 25-N1616,BSC25N1616,5,GND,,datapin_a
BSC 25-N1616,BSC25N1616,6,COL,,datapin_a
BSC 25-N1616,BSC25N1616,7,ABL,,datapin_a
BSC 25-N1616,BSC25N1616,8,NC,,datapin_a
BSC 60HZ,BSC60HZ,1,COL,,datapin_a
BSC 60HZ,BSC60HZ,2,B+,,datapin_a
BSC 60HZ,BSC60HZ,3,190V,190.0,datapin_a
BSC 60HZ,BSC60HZ,4,GND,,datapin_a
BSC 60HZ,BSC60HZ,5,11V,11.0,datapin_a
BSC 60HZ,BSC60HZ,6,16V,16.0,datapin_a
BSC 60HZ,BSC60HZ,7,45V,45.0,datapin_a
BSC 60HZ,BSC60HZ,8,ABL,,datapin_a
BSC 60HZ,BSC60HZ,9,COL,,datapin_a
BSC 60HZ,BSC60HZ,10,AFC,,datapin_a
BSC 24-2231HC,BSC242231HC,1,COL,,datapin_a
BSC 24-2231HC,BSC242231HC,2,B+,,datapin_a
BSC 24-2231HC,BSC242231HC,3,46V,46.0,datapin_a
BSC 24-2231HC,BSC242231HC,4,16V,16.0,datapin_a
BSC 24-2231HC,BSC242231HC,5,GND,,datapin_a
BSC 24-2231HC,BSC242231HC,6,AFC,,datapin_a
BSC 24-2231HC,BSC242231HC,7,ABL,,datapin_a
BSC 24-2231HC,BSC242231HC,8,COL,,datapin_a
BSC 24-2231HC,BSC242231HC,9,180V,180.0,datapin_a
BSC 24-2231HC,BSC242231HC,10,NC,,datapin_a
TFB 4067BD,TFB4067BD,1,COL,,datapin_a
TFB 4067BD,TFB4067BD,2,B+,,datapin_a
TFB 4067BD,TFB4067BD,3,185V,185.0,datapin_a
TFB 4067BD,TFB4067BD,4,GND,,datapin_a
TFB 4067BD,TFB4067BD,5,NC,,datapin_a
TFB 4067BD,TFB4067BD,6,24V,24.0,datapin_a
TFB 4067BD,TFB4067BD,7,12V,12.0,datapin_a
TFB 4067BD,TFB4067BD,8,ABL,,datapin_a
TFB 4067BD,TFB4067BD,9,COL,,datapin_a
TFB 4067BD,TFB4067BD,10,AFC,,datapin_a
TFB 4125CH,TFB4125CH,1,COL,,datapin_a
TFB 4125CH,TFB4125CH,2,B+,,datapin_a
TFB 4125CH,TFB4125CH,3,185V,185.0,datapin_a
TFB 4125CH,TFB4125CH,4,GND,,datapin_a
TFB 4125CH,TFB4125CH,5,NC,,datapin_a
TFB 4125CH,TFB4125CH,6,24V,24.0,datapin_a
TFB 4125CH,TFB4125CH,7,12V,12.0,datapin_a
TFB 4125CH,TFB4125CH,8,ABL,,datapin_a
TFB 4125CH,TFB4125CH,9,COL,,datapin_a
TFB 4125CH,TFB4125CH,10,AFC,,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,1,COL,,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,2,B+,,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,3,185V,185.0,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,4,GND,,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,5,NC,,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,6,24V,24.0,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,7,12V,12.0,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,8,ABL,,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,9,COL,,datapin_a
TFB 4122HY/ES/CS/DY,TFB4122HYESCSDY,10,AFC,,datapin_a
BSC 23-N0102,BSC23N0102,1,COL,,datapin_a
BSC 23-N0102,BSC23N0102,2,B+,,datapin_a
BSC 23-N0102,BSC23N0102,3,185V,185.0,datapin_a
BSC 23-N0102,BSC23N0102,4,GND,,datapin_a
BSC 23-N0102,BSC23N0102,5,NC,,datapin_a
BSC 23-N0102,BSC23N0102,6,24V,24.0,datapin_a
BSC 23-N0102,BSC23N0102,7,12V,12.0,datapin_a
BSC 23-N0102,BSC23N0102,8,ABL,,datapin_a
BSC 23-N0102,BSC23N0102,9,COL,,datapin_a
BSC 23-N0102,BSC23N0102,10,AFC,,datapin_a
FCK 14A028,FCK14A028,1,NC,,datapin_a
FCK 14A028,FCK14A028,2,B+,,datapin_a
FCK 14A028,FCK14A028,3,14V,14.0,datapin_a
FCK 14A028,FCK14A028,4,24V,24.0,datapin_a
FCK 14A028,FCK14A028,5,COL,,datapin_a
FCK 14A028,FCK14A028,6,GND,,datapin_a
FCK 14A028,FCK14A028,7,ABL,,datapin_a
FCK 14A028,FCK14A028,8,180V,180.0,datapin_a
FCK 14A028,FCK14A028,9,B+,,datapin_a
FCK 14A028,FCK14A028,10,COL,,datapin_a
154-182H,154182H,1,190V,190.0,datapin_a
154-182H,154182H,2,NC,,datapin_a
154-182H,154182H,3,COL,,datapin_a
154-182H,154182H,4,AFC,,datapin_a
154-182H,154182H,5,B+,,datapin_a
154-182H,154182H,6,43V,43.0,datapin_a
154-182H,154182H,7,ABL,,datapin_a
154-182H,154182H,8,GND,,datapin_a
154-182H,154182H,9,12V,12.0,datapin_a
154-182H,154182H,10,COL,,datapin_a
CF 0801,CF0801,1,COL,,datapin_a
CF 0801,CF0801,2,B+180V,180.0,datapin_a
CF 0801,CF0801,3,15V,15.0,datapin_a
CF 0801,CF0801,4,24V,24.0,datapin_a
CF 0801,CF0801,5,COL,,datapin_a
CF 0801,CF0801,6,GND,,datapin_a
CF 0801,CF0801,7,ABL,,datapin_a
CF 0801,CF0801,8,NC,,datapin_a
CF 0801,CF0801,9,NC,,datapin_a
CF 0854,CF0854,1,COL,,datapin_a
CF 0854,CF0854,2,B+,,datapin_a
CF 0854,CF0854,3,GND,,datapin_a
CF 0854,CF0854,4,AFC,,datapin_a
CF 0854,CF0854,5,185V,185.0,datapin_a
CF 0854,CF0854,6,COL,,datapin_a
CF 0854,CF0854,7,25V,25.0,datapin_a
CF 0854,CF0854,8,15V,15.0,datapin_a
CF 0854,CF0854,9,GND,,datapin_a
CF 0854,CF0854,10,ABL,,datapin_a
CF 0582,CF0582,1,COL,,datapin_a
CF 0582,CF0582,2,B+,,datapin_a
CF 0582,CF0582,3,GND,,datapin_a
CF 0582,CF0582,4,AFC,,datapin_a
CF 0582,CF0582,5,185V,185.0,datapin_a
CF 0582,CF0582,6,COL,,datapin_a
CF 0582,CF0582,7,25V,25.0,datapin_a
CF 0582,CF0582,8,15V,15.0,datapin_a
CF 0582,CF0582,9,GND,,datapin_a
CF 0582,CF0582,10,ABL,,datapin_a
FSA 28027M,FSA28027M,1,COL,,datapin_a
FSA 28027M,FSA28027M,2,NC,,datapin_a
FSA 28027M,FSA28027M,3,NC,,datapin_a
FSA 28027M,FSA28027M,4,123V,123.0,datapin_a
FSA 28027M,FSA28027M,5,12V,12.0,datapin_a
FSA 28027M,FSA28027M,6,ABL,,datapin_a
FSA 28027M,FSA28027M,7,25V,25.0,datapin_a
FSA 28027M,FSA28027M,8,GND,,datapin_a
FSA 28027M,FSA28027M,9,185V,185.0,datapin_a
FSA 28027M,FSA28027M,10,COL,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,1,COL,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,2,NC,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,3,B+,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,4,GND,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,5,NC,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,6,TEP,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,7,NC,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,8,ABL,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,9,COL,,datapin_a
BSC 24-01N4009A,BSC2401N4009A,10,AFC,,datapin_a
BSC 22-01N40J,BSC2201N40J,1,COL,,datapin_a
BSC 22-01N40J,BSC2201N40J,2,180V,180.0,datapin_a
BSC 22-01N40J,BSC2201N40J,3,115V,115.0,datapin_a
BSC 22-01N40J,BSC2201N40J,4,GND,,datapin_a
BSC 22-01N40J,BSC2201N40J,5,22V,22.0,datapin_a
BSC 22-01N40J,BSC2201N40J,6,16V,16.0,datapin_a
BSC 22-01N40J,BSC2201N40J,7,ABL,,datapin_a
BSC 22-01N40J,BSC2201N40J,8,COL,,datapin_a
BSC 22-01N40J,BSC2201N40J,9,NC,,datapin_a
BSC 22-01N40J,BSC2201N40J,10,NC,,datapin_a
F0194= 16V),F0194=16V),1,15V,15.0,datapin_a
F0194= 16V),F0194=16V),2,COL,,datapin_a
F0194= 16V),F0194=16V),3,24V,24.0,datapin_a
F0194= 16V),F0194=16V),4,B+,,datapin_a
F0194= 16V),F0194=16V),5,ABL,,datapin_a
F0194= 16V),F0194=16V),6,AFC,,datapin_a
F0194= 16V),F0194=16V),7,GND,,datapin_a
F0194= 16V),F0194=16V),8,NC,,datapin_a
F0194= 16V),F0194=16V),9,180V,180.0,datapin_a
F0194= 16V),F0194=16V),10,COL,,datapin_a
F 0042PE-M,F0042PEM,1,15V,15.0,datapin_a
F 0042PE-M,F0042PEM,2,COL,,datapin_a
F 0042PE-M,F0042PEM,3,24V,24.0,datapin_a
F 0042PE-M,F0042PEM,4,B+,,datapin_a
F 0042PE-M,F0042PEM,5,ABL,,datapin_a
F 0042PE-M,F0042PEM,6,AFC,,datapin_a
F 0042PE-M,F0042PEM,7,GND,,datapin_a
F 0042PE-M,F0042PEM,8,NC,,datapin_a
F 0042PE-M,F0042PEM,9,180V,180.0,datapin_a
F 0042PE-M,F0042PEM,10,COL,,datapin_a
F 0063PE-M,F0063PEM,1,COL,,datapin_a
F 0063PE-M,F0063PEM,2,B+,,datapin_a
F 0063PE-M,F0063PEM,3,24V,24.0,datapin_a
F 0063PE-M,F0063PEM,4,12V,12.0,datapin_a
F 0063PE-M,F0063PEM,5,NC,,datapin_a
F 0063PE-M,F0063PEM,6,AFC,,datapin_a
F 0063PE-M,F0063PEM,7,GND,,datapin_a
F 0063PE-M,F0063PEM,8,COL,,datapin_a
F 0063PE-M,F0063PEM,9,185V,185.0,datapin_a
F 0063PE-M,F0063PEM,10,ABL,,datapin_a
F 0067PE-M,F0067PEM,1,COL,,datapin_a
F 0067PE-M,F0067PEM,2,B+,,datapin_a
F 0067PE-M,F0067PEM,3,24V,24.0,datapin_a
F 0067PE-M,F0067PEM,4,12V,12.0,datapin_a
F 0067PE-M,F0067PEM,5,NC,,datapin_a
F 0067PE-M,F0067PEM,6,AFC,,datapin_a
F 0067PE-M,F0067PEM,7,GND,,datapin_a
F 0067PE-M,F0067PEM,8,COL,,datapin_a
F 0067PE-M,F0067PEM,9,185V,185.0,datapin_a
F 0067PE-M,F0067PEM,10,ABL,,datapin_a
154-279C,154279C,1,COL,,datapin_a
154-279C,154279C,2,(B+135V),135.0,datapin_a
154-279C,154279C,3,200V,200.0,datapin_a
154-279C,154279C,4,GND,,datapin_a
154-279C,154279C,5,GND,,datapin_a
154-279C,154279C,6,25V,25.0,datapin_a
154-279C,154279C,7,16V,16.0,datapin_a
154-279C,154279C,8,ABL,,datapin_a
154-279C,154279C,9,COL,,datapin_a
154-279C,154279C,10,NC,,datapin_a
BSC 25-N0363,BSC25N0363,1,COL,,datapin_a
BSC 25-N0363,BSC25N0363,2,180V,180.0,datapin_a
BSC 25-N0363,BSC25N0363,3,B+,,datapin_a
BSC 25-N0363,BSC25N0363,4,GND,,datapin_a
BSC 25-N0363,BSC25N0363,5,INNER,,datapin_a
BSC 25-N0363,BSC25N0363,6,26V,26.0,datapin_a
BSC 25-N0363,BSC25N0363,7,NC,,datapin_a
BSC 25-N0363,BSC25N0363,8,ABL,,datapin_a
BSC 25-N0363,BSC25N0363,9,COL,,datapin_a
BSC 25-N0363,BSC25N0363,10,AFC,,datapin_a
8-598-11,859811,1,COL,,datapin_a
8-598-11,859811,2,B+,,datapin_a
8-598-11,859811,3,200V,200.0,datapin_a
8-598-11,859811,4,COL,,datapin_a
8-598-11,859811,5,GND,,datapin_a
8-598-11,859811,6,-16.5V,16.5,datapin_a
8-598-11,859811,7,GND,,datapin_a
8-598-11,859811,8,+16.5V,16.5,datapin_a
8-598-11,859811,9,NC,,datapin_a
8-598-11,859811,10,ABL,,datapin_a
QQH0132-001,QQH0132001,1,COL,,datapin_a
QQH0132-001,QQH0132001,2,B+,,datapin_a
QQH0132-001,QQH0132001,3,40V,40.0,datapin_a
QQH0132-001,QQH0132001,4,NC,,datapin_a
QQH0132-001,QQH0132001,5,25V,25.0,datapin_a
QQH0132-001,QQH0132001,6,GND,,datapin_a
QQH0132-001,QQH0132001,7,COL,,datapin_a
QQH0132-001,QQH0132001,8,ABL,,datapin_a
QQH0132-001,QQH0132001,9,180V,180.0,datapin_a
QQH0132-001,QQH0132001,10,GND,,datapin_a
JF 0501-19539,JF050119539,1,COL,,datapin_a
JF 0501-19539,JF050119539,2,B+,,datapin_a
JF 0501-19539,JF050119539,3,GND,,datapin_a
JF 0501-19539,JF050119539,4,185V,185.0,datapin_a
JF 0501-19539,JF050119539,5,NC,,datapin_a
JF 0501-19539,JF050119539,6,COL,,datapin_a
JF 0501-19539,JF050119539,7,25V,25.0,datapin_a
JF 0501-19539,JF050119539,8,ABL,,datapin_a
JF 0501-19539,JF050119539,9,12V,12.0,datapin_a
JF 0501-19539,JF050119539,10,HPULSE,,datapin_a
BSC 25-1194D030,BSC251194D030,1,16.5V,16.5,datapin_a
BSC 25-1194D030,BSC251194D030,2,24V,24.0,datapin_a
