oem,hr,fk,offset
93728.00,HR 9203,21251,2644804
93729.00,HR 9626,23811,2644841
93729.01,HR 9626,24067,2644878
93731.00,HR 9550,20995,2644915
93731.01,HR 9550,21251,2644952
93733.01,HR 9560,22019,2648127
93744.00,HR 9324,21763,2648164
93749.00,HR 9649,25603,2648201
93749.01,HR 9649,25859,2648238
93758.00,HR 9505,23299,2648275
93758.01,HR 9505,23555,2648312
93758.02,HR 9505,23811,2648349
93760.00,HR 9644,22531,2648386
93761.00,HR 9313,20995,2648423
93761.01,HR 9313,21251,2648460
93765.00,HR 9507,23299,2648497
93765.01,HR 9507,23555,2648534
93765.02,HR 9507,23811,2648571
93768.00,HR 9518,24579,2648608
93768.01,HR 9518,24835,2648645
93769.00,HR 9601,23043,2648682
93769.01,HR 9601,23299,2648719
93770.00,HR 9705,22275,2648756
93771.00,HR 9313,21251,2648793
93772.00,HR 9707,23299,2648830
93773.00,HR 9509,23555,2648867
93773.01,HR 9509,23811,2648904
93773.02,HR 9509,24067,2648941
93774.00,HR 9510,21763,2648978
93774.01,HR 9510,22019,2649015
93774.02,HR 9510,22275,2649052
93776.00,HR 9661,24067,2651166
93776.01,HR 9661,24323,2651203
93777.00,HR 9531,23299,2651240
93779.00,HR 9512,23555,2651277
93780.00,HR 9513,21763,2651314
93780.01,HR 9513,22019,2651351
93780.02,HR 9513,22275,2651388
93787.00,HR 9624,24323,2651425
93787.01,HR 9624,24579,2651462
93791.00,HR 9527,23555,2651499
93791.01,HR 9527,23811,2651536
93791.02,HR 9527,24067,2651573
93792.00,HR 9526,23555,2651610
93795.00,HR 9559,25859,2651647
93795.01,HR 9559,26115,2651684
93799.00,HR 9214,23811,2651721
93799.01,HR 9214,24067,2651758
93900.00,HR 9566,22275,2651795
93900.01,HR 9566,22531,2651832
93901.00,HR 9459,22787,2651869
93901.01,HR 9459,23043,2651906
93901.02,HR 9459,23299,2651943
93901.03,HR 9459,23555,2651980
93902.00,HR 9428,22019,2652017
93902.01,HR 9428,22275,2652054
93903.00,HR 9527,22275,2652091
93903.01,HR 9527,22531,2652128
93903.02,HR 9527,22787,2654245
93903.03,HR 9527,23043,2654282
93904.00,HR 9467,23299,2654319
93904.01,HR 9467,23555,2654356
93904.02,HR 9467,23811,2654393
93904.03,HR 9467,24067,2654430
93904.04,HR 9467,24323,2654467
93905.00,HR 9426,22275,2654504
93906.00,HR 9466,23555,2654541
93906.01,HR 9466,23811,2654578
93908.00,HR 9434,22787,2654615
93908.01,HR 9434,23043,2654652
93908.02,HR 9434,23299,2654689
93908.03,HR 9434,23555,2654726
93911.00,HR 9437,22019,2654763
93911.01,HR 9437,22275,2654800
93912.00,HR 9438,22531,2654837
93912.01,HR 9438,22787,2654874
93912.99,HR 9438,27139,2654911
9391299,HR 9438,15363,2654948
93913.00,HR 9436,22275,2654984
93913.01,HR 9436,22531,2655021
93915.00,HR 9436,22787,2655058
93915.01,HR 9436,23043,2655095
93972.00,HR 9526,23555,2655132
93972.01,HR 9526,23811,2655169
94 X 2971,HR 42050,2564,2657317
94-00005/0.8,HR 2267,3844,2657357
94-00007/0.6,HR 2266 R,32772,2657398
94-00014/0.7,HR 2277 TS,54788,2657441
94-00020/0.9,HR 2080/10,38404,2657485
94-00021/0.8,HR 3606,2820,2657529
94-00028/0.1,HR 1810,1540,2657570
94-00030/0.7,HR 1808,3076,2657611
94-00031/0.6,HR 5568,4868,2657652
94-00033/0.4,HR 1816,2820,2657693
94-00035/0.2,HR 5565,4100,2657734
94-00037/0.0,HR 1811,1540,2657775
94-00040/0.5,HR 2279 T5SR,23557,2657816
94-01001/0.0,HR 2279 T6SR,22021,2657862
94-01002/0.9,HR 5611,2564,2657908
94-01005/0.6,HR 1868,5124,2657949
94-01006/0.5,HR 6102,1540,2657990
94-01006/2.1,HR 6102,1028,2658031
94-01008/0.3,HR 5649,5380,2658072
94-01009/0.2,HR 5612,2820,2658113
94-01010/0.9,HR 5650,3076,2658154
94-01012/0.7,HR 1811,1796,2658195
94-01013/0.6,HR 5612,2564,2658236
94-01014/0.5,HR 7038,3588,2659365
94-01016/0.3,HR 5650,3076,2659406
94-01017/0.2,HR 6031,1540,2659447
94-01018/1.9,HR 6031,3844,2659488
94-01019/0.0,HR 18001,13828,2659529
94-01020/0.7,HR 7004,1540,2659571
94-01021/0.6,HR 7004,1540,2659612
94-01022/0.5,HR 6035,2308,2659653
94-01023/0.4,HR 6035,2308,2659694
94-01024/0.3,HR 7004,1540,2659735
94-01025/0.2,HR 6125,2308,2659776
94-01025/2.0,HR 9425,3844,2659817
94-01026/0.1,HR 7097,4612,2659858
94-01027/0.0,HR 6124,2052,2659899
94-01028/0.9,HR 7713,5892,2659940
94-01029/0.8,HR 7110,3588,2659981
94-01030/0.5,HR 6035,2052,2660022
94-01031/0.4,HR 18001,13316,2660063
94-01032/0.3,HR 7712,2820,2660105
94-01036/0.9,HR 6195,6404,2660146
94-01037/0.8,HR 7529,6916,2660187
94-01040/0.3,HR 7502,1796,2660228
94-01041/0.2,HR 7528,3844,2660269
94-01042/0.1,HR 7529,4100,2660310
94-01046/0.6,HR 6231,3616,2662428
94-01046/0.7,HR 6220,3332,2662469
94-01046/1.4,HR 6231,3332,2662510
94-01046/1.5,HR 6220,3076,2662551
94-01046/2.2,HR 6231,3076,2662592
94-01046/2.3,HR 6220,2820,2662633
94-01048/0.5,HR 7153,4868,2662674
94-01048/1.3,HR 7153,4612,2662715
94-01049/0.4,HR 6220,3332,2662756
94-01052/0.8,HR 6124,3588,2662797
94-01053/0.7,HR 18003,15620,2662838
94-01054/0.6,HR 7157,5380,2662880
94-01055/2.1,HR 6249,5124,2662921
94-01055/4.7,HR 6249,7172,2662962
94-01055/5.4,HR 6249,6660,2663003
94-01057/1.1,HR 7543,4868,2663044
94-01057/2.9,HR 7543,7172,2663085
94-01058/0.2,HR 6238,5124,2663126
94-01058/1.0,HR 6238,4868,2663167
94-01059/0.1,HR 6246,4868,2663208
94-01060/0.8,HR 7177,5636,2663249
94-01061/0.7,HR 6246,4612,2663290
94-01062/0.6,HR 7186,5636,2663331
94-01062/1.4,HR 7186,5380,2663372
94-01063/0.5,HR 7590,5380,2665531
94-01064/0.4,HR 6286,5636,2665572
94-01064/1.2,HR 6286,5380,2665613
94-01065/0.3,HR 7590,5380,2665654
94-01068/0.0,HR 6299,6660,2665695
94-01068/1.8,HR 6299,8964,2665736
94-01069/0.9,HR 7205,6148,2665777
94-01070/0.6,HR 7543,4612,2665818
94-01070/1.4,HR 7543,4356,2665859
94-01071/0.5,HR 6368,5636,2665900
94-01072/0.4,HR 7213,3076,2665941
94-01072/1.2,HR 7213,2820,2665982
94-01073/0.3,HR 6370,3844,2666023
94-01074/1.0,HR 6368,5380,2666064
94-01074/2.8,HR 6368,7684,2666105
94-01075/0.1,HR 6370,3844,2666146
94-01075/1.9,HR 6370,6148,2666187
94-01075/2.7,HR 6370,5892,2666228
94-01075/3.5,HR 6370,5636,2666269
94-01077/0.9,HR 7241,5892,2666310
94-01077/1.7,HR 7241,5636,2666351
94-01077/2.5,HR 7241,5380,2666392
94-01078/0.8,HR 7346,7428,2666433
94-01078/0.9,HR 7346,7684,2667557
94-01079/0.7,HR 7186,7940,2667598
94-01081/0.3,HR 7339,5124,2667639
94-01082/0.2,HR 8222,3076,2667680
94-01083/0.1,HR 7399,6660,2667721
94-01084/0.0,HR 8046,4100,2667762
94-01085/0.9,HR 8021,4868,2667803
94-01092/0.0,HR 8404,3332,2667844
94-01094/0.8,HR 8411,5380,2667885
94-02011/0.6,HR 18037,15876,2667926
94-20,HR 2080/10,16387,2667968
940102908,HR 7110,33795,2668005
9402-02,HR 9104,5635,2668043
9402-03,HR 9104,5891,2668079
941237,HR 7154,62722,2668115
946.369,HR 6230,10243,2668150
946348,HR 7080,64258,2668186
946349,HR 7058,259,2668221
946369,HR 7037,3,2668256
946369 1,HR 7141,19715,2668291
946391,HR 7055,64258,2668328
946392,HR 7054,64258,2668363
946404,HR 236,49154,2668398
946408,HR 3515,63234,2668432
946408/0340,HR 3515,60675,2668467
946416 A,HR 6358,24323,2668507
946540,HR 7037,63234,2671645
946548,HR 7080,64770,2671680
946548 1,HR 7080,19971,2671752
946548 A,HR 7080,24067,2671715
946549,HR 7144,65282,2671789
94857 H,HR 7600,12291,2671824
94896 01,HR 42042,51203,2671860
95-00907/0.4,HR 1843/87,46084,2671899
95-04372,HR 7841,22787,2671943
95-4134,HR 6642,8963,2671980
95-4134-01,HR 6642,45315,2672016
95-4134-07,HR 6643,47107,2672055
95-4134-15,HR 6645,47363,2672094
95-4134-19,HR 6645,48387,2672133
95-4134-21,HR 6645,46595,2672172
95-4134-31,HR 6645,46851,2672211
95-4136,HR 46020,39939,2672250
95-4136-01,HR 46020,10756,2672288
95-4168,HR 46060,42243,2672329
95-4168-01,HR 42078,14340,2672367
95-4372,HR 7841,10499,2672408
95-4372-01,HR 7841,46851,2672444
95-4376,HR 7765,12803,2672483
95-4617-01,HR 7841,47363,2672519
95-5413-401,HR 6642,58883,2672558
950268960000,HR 7910,10244,2672598
951167001901,HR 7910,8992,2673692
9546584001,HR 6076,50947,2673733
955 061 7,HR 3657,28675,2673772
955 276 1,HR 6137,28163,2673810
955 365 2,HR 6311,26627,2673848
955 384 3,HR 3658,29955,2673886
955 630 9,HRT 210 BF,11780,2673924
955 795 0,HRT 209,37123,2673965
955 949 3,HR 5542,30211,2674003
956,HR 6031,22530,2674041
956 080 6,HRT 227 BP,15620,2674073
956 458 4,HR 6076,30211,2674114
956 966 6,HR 6312,29955,2674152
956 967 4,HR 6312,29699,2674190
957 265 2,HR 6137,28419,2674228
957 305 6,HR 6143,27395,2674266
957 453 4,HR 3655,29187,2674304
957 647 1,HR 2018,27651,2674342
957 801 4,HR 2019,26627,2674380
9576471,HR 2018,11267,2674418
958 111 7,HR 6322,26371,2674454
958 501 9,HR 6267,29699,2674492
958 627 2,HRT 227 BP,16900,2674530
958 658 7,HR 3769,33539,2674571
958 743 7,HR 6321,28931,2674609
958 774 2,HR 5708,30723,2674647
959 007 6,HR 7306,28163,2677824
959 236 1,HR 7624,28675,2677862
959 262 7,HR 7624,29955,2677900
959 584 4,HR 7460,30467,2677938
959 772 5,HR 5702,29699,2677976
959 896 2,HR 6401,29955,2678014
96.011203,HR 7078,33795,2678052
960910 C,HR 7971,24067,2678090
970409 B,HR 7971,24835,2678127
97200,HR 7936,4611,2678164
97201,HR 7936,4867,2678199
97202,HR 7936,5123,2678234
97203,HR 7936,5379,2678269
97204,HR 7936,5635,2678304
97205,HR 7936,5891,2678339
978000180,HRT 239 BP,24324,2678374
990092,HR 7029,63746,2678415
A 1201-0007,HR 7852,55555,61215
A 1201-0016,HR 7992,56835,61255
A 1201-0027,HR 8214,54275,61295
A 1201-0040,HR 8093,54275,61335
A 1201-0047,HR 7843,56579,61375
A 1201-0058,HR 8616,56835,63525
A 22103-13,HR 5126,41475,63565
A 2437462,HR 7695,57091,63604
A 2437465,HR 46089,4612,63643
A 3 319 45,HR 2265,37635,63683
A 774,HR 4003,46082,63722
A 9 M 308,HR 46006,63747,63756
A3 160 52,HR 2265,27395,134291
A3 264 11,HR 2265,27395,134329
A3 264 12,HR 2265,27651,134367
A3 296 31,HR 2265,29187,134405
A3 319 44,HR 2265,29187,134443
A3 319 45,HR 2265,29443,134481
AA 26-00004 A,HR 8491,19460,63796
AA 26-00007 Q,HR 7898,26884,63838
AA 26-00008 A,HR 8585,21508,63880
AA 26-00116 A,HR 8628,20996,63922
AA 26-00132 A,HR 8602,18436,63964
AA 26-30001 C,HR 7605,18948,64006
AA 26-30001 F,HR 7853,20996,64048
AA 26-30001 H,HR 7471,20484,64090
AA 26-30001 J,HR 7680,21508,64132
AA 26-30001 K,HR 7955,23044,64174
AA 26-30001 M,HR 7614,21508,64216
AA 26-30001 N,HR 7959,24836,64258
AA 26-30001 R,HR 7795,25348,64300
AA 26-30001 T,HR 7992,25604,64342
AA 26-30001 X,HR 8214,23556,64384
AA 26-30001 Y,HR 7898,28164,64426
AA 26-30002 B,HR 8393,20228,64468
AA 26-30002 F,HR 8093,8192,64539
AA 26-30002 H,HR 8481,21252,64581
AA 26-30002 J,HR 7843,22020,64623
AA 26-30002 K,HR 7968,24324,64665
AA 26-30002 U,HR 8622,23812,64707
AA 26-30003 A,HR 7974,21252,64749
AA 26-30003 C,HR 7477,21252,64791
AA 26-30003 G,HR 7852,21508,64833
AA 26-30004 D,HR 8614,20228,64875
AA 26-30004 E,HR 8616,20996,64917
AA 26-30004 H,HR 8207,20740,64959
AA 26-30005 C,HR 8494,21764,65001
AA 26-30005 E,HR 8492,21764,65043
AA 26-30005 L,HR 8491,23300,65085
AA 26-30005 Q,HR 8212,22276,65127
AA 26-30005 S,HR 8491,25092,65169
AA 26-30005 U,HR 8477,26628,65211
AA 26-30005 V,HR 8379,27140,65253
AA 26-30005 Y,HR 8170,25092,65295
AA2600007Q,HR 7898,64515,65337
AB50H0000091,HR 7481,18436,65376
AFS 203,HR 7462,19459,65417
AFS 204,HR 7140,17923,65453
AFS 206,HR 7437,20739,65489
AFS 214,HR 7471,19971,67638
AFS 217,HR 8621,20227,67674
AFS 219,HR 7731,20995,67710
AFS 221,HR 7623,19203,67746
AFS 223,HR 6062,18691,67782
AFS 230,HR 7223,18179,67818
AFS 234,HR 7094,20739,67854
AFS 237,HR 7791,22531,67890
AFS 239,HR 7711,20995,67926
AFS 240,HR 7691,20739,67962
AFS 242,HR 8096,21251,67998
AFS 243,HR 7432,19715,68034
AFS 244,HR 8358,22019,68070
AFS 245,HR 7443,20739,68106
AFS 246,HR 7398,23299,68142
AFS 247,HR 7565,22531,68178
AFS 249,HR 8543,22275,68214
AFS 250,HR 8376,21251,68250
AFS 251,HR 7128,19971,68286
AFS 253,HR 7666,22275,68322
AFS 254,HR 7666,22531,68358
AFS 255,HR 7970,22275,68394
AFS 256,HR 7927,23043,68430
AFS 257,HR 7971,23043,68466
AFS 261,HR 7880,21507,68502
AFS 263,HR 7037,20483,68538
AFS 264,HR 7591,22019,68574
AFS 265,HR 7296,22787,71711
AFS 266,HR 7105,20227,71747
AFS 267,HR 7126,21251,71783
AFS 268,HR 7488,24323,71819
AFS 269,HR 7452,22275,71855
AFS 270,HR 8157,20995,71891
AFS 271,HR 8559,22787,71927
AFS 272,HR 7141,19459,71963
AFS 273,HR 7434,20995,71999
AFS 277,HR 8377,23811,72035
AFS 278,HR 7772,23555,72071
AFS 279,HR 7483,23555,72107
AFS 280,HR 7159,21507,72143
AFS 281,HR 7378,22531,72179
AFS 282,HR 7131,19459,72215
AFS 283,HR 7839,23555,72251
AFS 284,HR 7918,23299,72287
AFS 286,HR 7840,22275,72323
AFS 288,HR 7377,24067,72359
AFS 290,HR 7612,20227,72395
AFS 291,HR 7900,20483,72431
AFS 293,HR 7511,20483,72467
AFS 294,HR 8005,20483,72503
AFS 295,HR 7433,21763,72539
AFS 297,HR 7494,24067,72575
AFS 298,HR 8035,22275,72611
AFS 299,HR 7535,23555,72647
AFS 300,HR 7256,19203,73765
AFS 301,HR 7473,19715,73801
AFS 302,HR 7257,19971,73837
AFS 303,HR 8538,20995,73873
AFS 304,HR 7386,21251,73909
AFS 305,HR 8003,18179,73945
AFS 307,HR 7474,21507,73981
AFS 309,HR 7378,22787,74017
AFS 310,HR 7950,19715,74053
AFS 311,HR 7977,22275,74089
AFS 312,HR 7906,20483,74125
AFS 314,HR 7386,21507,74161
AFS 315,HR 7916,21507,74197
AFS 316,HR 8154,20483,74233
AFS 317,HR 7443,20739,74269
AFS 318,HR 8044,20483,74305
AFS 320,HR 8095,20227,74341
AFS 321,HR 7985,22275,74377
AFS 322,HR 7814,20227,74413
AFS 324,HR 7146,20227,74449
AFS 327,HR 8032,19715,74485
AFS 329,HR 7154,21251,74521
AFS 330,HR 7459,21251,74557
AFS 331,HR 8188,21507,74593
AFS 332,HR 8080,19459,74629
AFS 333,HR 7962,21763,74665
AFS 334,HR 7279,22275,74701
AFS 336,HR 7243,20483,76850
AFS 338,HR 8119,21763,76886
AFS 340,HR 7351,19203,76922
AFS 341,HR 8228,20483,76958
AFS 342,HR 7344,20227,76994
AFS 343,HR 7774,22275,77030
AFS 346,HR 7535,21763,77066
AFS 347,HR 7360,20995,77102
AFS 348,HR 7816,22787,77138
AFS 349,HR 7228,22275,77174
AFS 350,HR 8118,19971,77210
AFS 351,HR 7922,20739,77246
AFS 352,HR 8007,19715,77282
AFS 353,HR 7984,23299,77318
AFS 354,HR 8116,20483,77354
AFS 355,HR 7503,20483,77390
AFS 356,HR 7384,22531,77426
AFS 358,HR 7934,23299,77462
AFS 359,HR 8416,22531,77498
AFS 360,HR 8320,18947,77534
AFS 364,HR 7627,22275,77570
AFS 366,HR 8327,22275,77606
AFS 368,HR 8604,22275,77642
AG 06592,HR 4001,23811,77678
AL 12-13,HR 1662,23043,77715
AL 12/520,HR 1662,36611,77752
AL 6/500,HR 1662,24579,77790
AM 1409022,HR 7460,51971,78885
AM 1420111,HR 7612,49667,78924
AM 1422180,HR 6283,52483,78963
AM 152355,HR 7687,43267,79002
AM 152591,HR 7464,41987,79040
AM 170467,HR 6355,61699,79078
AM 170468,HR 7674,63235,79117
AM 171509,HR 7226,60675,79156
AM 175082,HR 7362,60931,79195
AM 175344,HR 46045,8196,79234
AM 175714,HR 46045,8452,79274
AM 175966,HR 46049,11780,79314
AM 175996,HR 46049,12548,79354
