oem,oem_norm,fbt
1302.0044 A,13020044A,FBT41066
1302.0044 B,13020044B,FBT41066
1302.0047,13020047,FBT41286
1302.0049,13020049,FBT41149
1302.0049 A,13020049A,FBT41149
1302.2001,13022001,FBT41280
1302.2002,13022002,FBT41281
1302.2002 C,13022002C,FBT41281
1302.6006,13026006,FBT40770
1302.6006 A,13026006A,FBT40770
1302.6601,13026601,FBT40771
1302.6601 A,13026601A,FBT40771
1302.6601 D,13026601D,FBT40771
1302.6603,13026603,FBT41089
1302.6603 A,13026603A,FBT41089
1302.7007,13027007,FBT40889
1302.7007 A,13027007A,FBT40889
1332.0002,13320002,FBT40623
1332.0002 A,13320002A,FBT40623
1332.0009,13320009,FBT40792
1332.0009 A,13320009A,FBT40792
1332.0009 C,13320009C,FBT40792
1332.0016,13320016,FBT40756
1332.0016 A,13320016A,FBT40756
1332.0017,13320017,FBT40844
1332.0017 A,13320017A,FBT40844
1332.0017 B,13320017B,FBT40844
1332.0019,13320019,FBT40927
1332.0019 A,13320019A,FBT40927
1332.0019 B,13320019B,FBT40927
1332.0020,13320020,FBT40890
1332.0024,13320024,FBT41208
1342.0005,13420005,FBT40816
1342.00052,134200052,FBT40816
1342.00052 A,134200052A,FBT40816
1342.0005 A,13420005A,FBT40816
1342.0005 B,13420005B,FBT40816
1342.0005 D,13420005D,FBT40816
1342.0006,13420006,FBT40681
1342.00060,134200060,FBT40681
1342.00062,134200062,FBT40681
1342.000620,1342000620,FBT40681
1342.00062 A,134200062A,FBT40681
1342.0006 A,13420006A,FBT40681
1342.0007,13420007,FBT40666
1342.0008,13420008,FBT40488
1342.0011,13420011,FBT40488
1342.0011 A,13420011A,FBT40488
1342.0017,13420017,FBT40757
1342.00172,134200172,FBT40757
1342.00172 A,134200172A,FBT40757
1342.0017 A,13420017A,FBT40757
1342.0017 B,13420017B,FBT40757
1342.0017 C,13420017C,FBT40757
1342.0017 S,13420017S,FBT40757
1342.0019,13420019,FBT40817
1342.00192,134200192,FBT40817
1342.00192 A,134200192A,FBT40817
1342.0019 A,13420019A,FBT40817
1342.0019 B,13420019B,FBT40817
1342.0019 C,13420019C,FBT40817
1342.0020,13420020,FBT40707
1342.00202,134200202,FBT40707
1342.00202 A,134200202A,FBT40707
1342.0020 A,13420020A,FBT40707
1342.0020 B,13420020B,FBT40707
1342.0020 C,13420020C,FBT40707
1342.0021,13420021,FBT40810
1342.00212,134200212,FBT40810
1342.00212 A,134200212A,FBT40810
1342.0021 A,13420021A,FBT40810
1342.0021 B,13420021B,FBT40810
1342.0021 D,13420021D,FBT40810
1342.0021 E,13420021E,FBT40810
1342.0023,13420023,FBT40707
1342.00232,134200232,FBT40707
1342.00232 A,134200232A,FBT40707
1342.0023 A,13420023A,FBT40707
1342.0026,13420026,FBT40758
1342.00262,134200262,FBT40758
1342.0026 A,13420026A,FBT40758
1342.0026 C,13420026C,FBT40758
1342.0026 H,13420026H,FBT40758
1342.0028,13420028,FBT40818
1342.00282,134200282,FBT40818
1342.0028 A,13420028A,FBT40818
1342.0028 D,13420028D,FBT40818
1342.0033,13420033,FBT40990
1342.00332 A,134200332A,FBT40990
1342.0033 A,13420033A,FBT40990
1342.0033 C,13420033C,FBT40990
1342.0035,13420035,FBT40991
1342.0035 A,13420035A,FBT40991
1342.0035 B,13420035B,FBT40991
1342.0040,13420040,FBT40891
1342.0040 A,13420040A,FBT40891
1342.0040 B,13420040B,FBT40891
1342.0042 A,13420042A,FBT41097
1342.0042 C,13420042C,FBT41097
1342.0043,13420043,FBT40845
1342.00432,134200432,FBT40845
1342.00432 A,134200432A,FBT40845
1342.0043 A,13420043A,FBT40845
1342.0043 B,13420043B,FBT40845
1342.0044,13420044,FBT40892
1342.0044 A,13420044A,FBT40892
1342.0044 B,13420044B,FBT40892
1342.0046,13420046,FBT40893
1342.0046 A,13420046A,FBT40893
1342.0046 B,13420046B,FBT40893
1342.0048,13420048,FBT41098
1342.0048 A,13420048A,FBT41098
1342.0048 B,13420048B,FBT41098
1342.0049,13420049,FBT40894
1342.0049 A,13420049A,FBT40894
1342.0049 B,13420049B,FBT40894
1342.0053,13420053,FBT41045
1342.0054,13420054,FBT40602
1342.0055,13420055,FBT40602
1342.005520 A,1342005520A,FBT40602
1342.0057,13420057,FBT40483
1342.0058,13420058,FBT40465
1342.0063,13420063,FBT41032
1342.0063 A,13420063A,FBT41032
1342.0066,13420066,FBT41276
1342.0066 A,13420066A,FBT41276
1352.0001,13520001,FBT40483
1352.0001 A,13520001A,FBT40483
1352.0001 B,13520001B,FBT40483
1352.0002,13520002,FBT41032
1352.0003,13520003,FBT41094
1352.0003 A,13520003A,FBT41094
1352.0003 B,13520003B,FBT41094
1352.0005,13520005,FBT40602
1352.0005 A,13520005A,FBT40602
1352.0007,13520007,FBT41045
1352.0007 A,13520007A,FBT41045
1352.0008,13520008,FBT40602
1352.0008 A,13520008A,FBT40602
1352.0008 B,13520008B,FBT40602
1352.0010,13520010,FBT40465
1352.0011,13520011,FBT40322
1352.0011 B,13520011B,FBT40322
1352.2044 A,13522044A,FBT40898
1352.3003,13523003,FBT40895
1352.3003 A,13523003A,FBT40895
1352.3005,13523005,FBT40379
1352.30050,135230050,FBT40379
1352.3005 A,13523005A,FBT40379
1352.3005 R,13523005R,FBT40379
1352.3006,13523006,FBT40839
1352.3007,13523007,FBT40413
1352.30070,135230070,FBT40413
1352.3007 A,13523007A,FBT40413
1352.3008,13523008,FBT40451
1352.3008 A,13523008A,FBT40451
1352.3009,13523009,FBT40884
1352.3011,13523011,FBT40992
1352.3011 A,13523011A,FBT40992
1352.3014,13523014,FBT13729
1352.3016,13523016,FBT40135
1352.3018,13523018,FBT40819
1352.30180,135230180,FBT40819
1352.3018 A,13523018A,FBT40819
1352.3018 B,13523018B,FBT40819
1352.3019,13523019,FBT40928
1352.3019 A,13523019A,FBT40928
1352.3020,13523020,FBT40793
1352.3020 A,13523020A,FBT40793
1352.3021,13523021,FBT41188
1352.3021 A,13523021A,FBT41188
1352.3022,13523022,FBT40849
1352.3022 A,13523022A,FBT40849
1352.3022 B,13523022B,FBT40849
1352.3023,13523023,FBT40820
1352.3023 A,13523023A,FBT40820
1352.3023 B,13523023B,FBT40820
1352.3024,13523024,FBT41046
1352.3024 A,13523024A,FBT41046
1352.3025,13523025,FBT40821
1352.3028,13523028,FBT40524
1352.3029,13523029,FBT41037
1352.3029 A,13523029A,FBT41037
1352.3029 D,13523029D,FBT41037
1352.3030,13523030,FBT41067
1352.3030 A,13523030A,FBT41067
1352.3030 C,13523030C,FBT41067
1352.3034,13523034,FBT40993
1352.3034 A,13523034A,FBT40993
1352.3034 D,13523034D,FBT40993
1352.3035,13523035,FBT40531
1352.3035 A,13523035A,FBT40531
1352.3036,13523036,FBT13729
1352.3036 A,13523036A,FBT13729
1352.3037,13523037,FBT40896
1352.3040,13523040,FBT41356
1352.3040 A,13523040A,FBT41356
1352.3040 C,13523040C,FBT41356
1352.3042,13523042,FBT40846
1352.3042 A,13523042A,FBT40846
1352.3042 B,13523042B,FBT40846
1352.3043,13523043,FBT40897
1352.3043 A,13523043A,FBT40897
1352.3043 C,13523043C,FBT40897
1352.3043 D,13523043D,FBT40897
1352.3044,13523044,FBT40898
1352.3044 A,13523044A,FBT40898
1352.3044 B,13523044B,FBT40898
1352.3044 F,13523044F,FBT40898
1352.3045,13523045,FBT40899
1352.3045 A,13523045A,FBT40899
1352.3047,13523047,FBT40900
1352.3047 A,13523047A,FBT40900
1352.3047 B,13523047B,FBT40900
1352.3048,13523048,FBT40901
1352.3048 A,13523048A,FBT40901
1352.3048 B,13523048B,FBT40901
1352.3049,13523049,FBT41068
1352.3049 A,13523049A,FBT41068
1352.3050,13523050,FBT13503
1352.3053,13523053,FBT13780
1352.3054,13523054,FBT40521
1352.3055,13523055,FBT41069
1352.3055 A,13523055A,FBT41069
1352.5003,13525003,FBT40322
1352.5003 B,13525003B,FBT40322
1352.5003 D,13525003D,FBT40322
1352.5003 E,13525003E,FBT40322
1352.5003 F,13525003F,FBT40322
1352.5006,13525006,FBT40564
1352.5006 A,13525006A,FBT40564
1352.5007,13525007,FBT40902
1352.5007 A,13525007A,FBT40902
1352.5008,13525008,FBT40708
1352.5008 A,13525008A,FBT40708
1352.5008 E,13525008E,FBT40708
1352.5009,13525009,FBT40381
1352.5009 C,13525009C,FBT40381
1352.5009 D,13525009D,FBT40381
1352.5010,13525010,FBT40902
1352.5010 B,13525010B,FBT40902
1352.5012,13525012,FBT40322
1352.5012 A,13525012A,FBT40322
1352.5012 C,13525012C,FBT40322
1352.5016,13525016,FBT40780
1352.5016 A,13525016A,FBT40780
1352.5016 D,13525016D,FBT40780
1352.5017,13525017,FBT40704
1352.5017 A,13525017A,FBT40704
1352.5017 B,13525017B,FBT40704
1352.5018,13525018,FBT41038
1352.5021,13525021,FBT40762
1352.5021 C,13525021C,FBT40762
1352.5023,13525023,FBT40929
1352.5025,13525025,FBT40759
1352.5025 A,13525025A,FBT40759
1352.5025 G,13525025G,FBT40759
1352.5027,13525027,FBT41230
1352.5027 A,13525027A,FBT41230
1352.5028,13525028,FBT41150
1352.5028 B,13525028B,FBT41150
1352.5029,13525029,FBT41151
1352.5029 A,13525029A,FBT41151
1352.5033,13525033,FBT40680
1352.5033 A,13525033A,FBT40680
1352.5033 B,13525033B,FBT40680
1352.5035,13525035,FBT40994
1352.5035 A,13525035A,FBT40994
1352.5036,13525036,FBT40718
1352.5036 A,13525036A,FBT40718
1352.5036 F,13525036F,FBT40718
1352.5037,13525037,FBT40725
1352.50370,135250370,FBT40725
1352.5037 A,13525037A,FBT40725
1352.5037 D,13525037D,FBT40725
1352.5038,13525038,FBT41051
1352.50380,135250380,FBT41051
1352.5038 A,13525038A,FBT41051
1352.5041,13525041,FBT40861
1352.5041 A,13525041A,FBT40861
1352.5041 C,13525041C,FBT40861
1352.5041 D,13525041D,FBT40861
1352.5042,13525042,FBT40794
1352.5042 A,13525042A,FBT40794
1352.5046,13525046,FBT40795
1352.5046 A,13525046A,FBT40795
1352.5047,13525047,FBT40796
1352.5047 A,13525047A,FBT40796
1352.5048,13525048,FBT40719
1352.5048 A,13525048A,FBT40719
1352.5049,13525049,FBT40797
1352.5049 A,13525049A,FBT40797
1352.5051,13525051,FBT40798
1352.5051 A,13525051A,FBT40798
1352.5052,13525052,FBT40822
1352.5052 A,13525052A,FBT40822
1352.5053,13525053,FBT41130
1352.5053 B,13525053B,FBT41130
1352.5054,13525054,FBT41314
1352.5054 B,13525054B,FBT41314
1352.5056,13525056,FBT40903
1352.5056 A,13525056A,FBT40903
1352.5056 B,13525056B,FBT40903
1352.5056 C,13525056C,FBT40903
1352.5058,13525058,FBT40680
1352.5058 A,13525058A,FBT40680
1352.5060,13525060,FBT40904
1352.5060 A,13525060A,FBT40904
1352.5060 D,13525060D,FBT40904
1352.5061,13525061,FBT40861
1352.5061 A,13525061A,FBT40861
1352.5062,13525062,FBT40995
1352.5062 A,13525062A,FBT40995
1352.5062 B,13525062B,FBT40995
1352.5063,13525063,FBT41025
1352.5063 A,13525063A,FBT41025
1352.5064,13525064,FBT40860
1352.5064 A,13525064A,FBT40860
1352.5065,13525065,FBT40996
1352.5065 A,13525065A,FBT40996
1352.5067,13525067,FBT41028
1352.5067 A,13525067A,FBT41028
1352.5067 B,13525067B,FBT41028
1352.5068,13525068,FBT41126
1352.5068 A,13525068A,FBT41126
1352.5068 B,13525068B,FBT41126
1352.5069,13525069,FBT40968
1352.5069 A,13525069A,FBT40968
1352.5070,13525070,FBT40997
1352.5070 A,13525070A,FBT40997
1352.5074,13525074,FBT40979
1352.5074 A,13525074A,FBT40979
1352.5075,13525075,FBT41071
1352.5075 A,13525075A,FBT41071
1352.5078,13525078,FBT41183
1352.5078 C,13525078C,FBT41183
1352.5079,13525079,FBT41072
1352.5079 A,13525079A,FBT41072
1352.5080,13525080,FBT41222
1352.5080 B,13525080B,FBT41222
1352.5081,13525081,FBT41189
1352.5081 A,13525081A,FBT41189
1352.5086,13525086,FBT41183
1352.5088,13525088,FBT41152
1352.5090,13525090,FBT41376
1352.5092,13525092,FBT41283
1352.5092 A,13525092A,FBT41283
1352.5094,13525094,FBT41278
1352.5094 A,13525094A,FBT41278
1352.5097,13525097,FBT41083
1352.5097 A,13525097A,FBT41083
1362.0003,13620003,FBT40823
1362.0003 A,13620003A,FBT40823
1362.0003 B,13620003B,FBT40823
1362.0004,13620004,FBT40799
1362.0004 A,13620004A,FBT40799
1362.0004 B,13620004B,FBT40799
1362.0004 C,13620004C,FBT40799
1362.0015,13620015,FBT41177
1362.0015 A,13620015A,FBT41177
1362.0015 B,13620015B,FBT41177
1362.0016,13620016,FBT41178
1362.0016 A,13620016A,FBT41178
1362.0016 B,13620016B,FBT41178
1362.3004,13623004,FBT40979
1362.3005,13623005,FBT40528
1362.3006,13623006,FBT40660
1362.3007,13623007,FBT40436
1362.3008,13623008,FBT13729
1362.3009,13623009,FBT40103
1362.3010,13623010,FBT40378
1362.3011,13623011,FBT40192
1362.3012,13623012,FBT40373
1362.3013,13623013,FBT40379
1362.3014,13623014,FBT40470
1362.3015,13623015,FBT40451
1362.3016,13623016,FBT40413
1362.3017,13623017,FBT40705
1362.3018,13623018,FBT40346
1362.3019,13623019,FBT40356
1362.3020,13623020,FBT13472
1362.3022,13623022,FBT40167
1362.3023,13623023,FBT40452
1362.3024,13623024,FBT40592
1362.3025,13623025,FBT41090
1362.3026,13623026,FBT40988
1362.3027,13623027,FBT40408
1362.3028,13623028,FBT40482
1362.3029,13623029,FBT40883
1362.3029 A,13623029A,FBT40883
1362.3030,13623030,FBT40342
1362.3031,13623031,FBT40515
1362.3032,13623032,FBT40031
1362.3033,13623033,FBT40793
1362.3034,13623034,FBT40103
1362.3037,13623037,FBT41291
1362.3037 A,13623037A,FBT41291
1362.3041,13623041,FBT40193
1362.3044,13623044,FBT40119
1362.3045,13623045,FBT40536
1362.3046,13623046,FBT13729
1362.3047,13623047,FBT41050
1362.3048,13623048,FBT40435
1362.3051,13623051,FBT40195
1362.3054,13623054,FBT13505
1362.3601,13623601,FBT40720
1362.3602,13623602,FBT40886
1362.3603,13623603,FBT40376
1362.3604,13623604,FBT40015
1362.3605,13623605,FBT40254
1362.3606,13623606,FBT40233
1362.3608,13623608,FBT41181
1362.3608 A,13623608A,FBT41181
1362.3609,13623609,FBT40885
1362.5001,13625001,FBT40828
1362.5001 A,13625001A,FBT40828
1362.5002,13625002,FBT40828
1362.5002 A,13625002A,FBT40828
1362.5003,13625003,FBT40911
1362.5003 A,13625003A,FBT40911
1362.5005,13625005,FBT40860
1362.5005 A,13625005A,FBT40860
1362.5005 D,13625005D,FBT40860
1362.5006,13625006,FBT40905
1362.5006 A,13625006A,FBT40905
1362.5006 D,13625006D,FBT40905
1362.5007,13625007,FBT40906
1362.5007 A,13625007A,FBT40906
1362.5010,13625010,FBT41223
1362.5010 B,13625010B,FBT41223
1362.5013,13625013,FBT40954
1362.5015 A,13625015A,FBT41297
1362.5016,13625016,FBT40998
1362.5016 A,13625016A,FBT40998
1362.5017,13625017,FBT40907
1362.5017 A,13625017A,FBT40907
1362.5017 B,13625017B,FBT40907
1362.5017 C,13625017C,FBT40907
1362.5018,13625018,FBT40908
1362.5018 A,13625018A,FBT40908
1362.5018 C,13625018C,FBT40908
1362.5019,13625019,FBT40909
1362.5019 A,13625019A,FBT40909
1362.5019 C,13625019C,FBT40909
1362.5020,13625020,FBT40860
1362.5020 A,13625020A,FBT40860
1362.5021,13625021,FBT40999
1362.5021 A,13625021A,FBT40999
1362.5021 C,13625021C,FBT40999
1362.5022,13625022,FBT41170
1362.5022 E,13625022E,FBT41170
1362.5023,13625023,FBT41171
1362.5023 A,13625023A,FBT41171
1362.5024,13625024,FBT40930
1362.5024 A,13625024A,FBT40930
1362.5028 A,13625028A,FBT40906
1362.5029,13625029,FBT41373
1362.5029 A,13625029A,FBT41373
1362.5029 B,13625029B,FBT41373
1362.5039 A,13625039A,FBT41343
1362.5041,13625041,FBT41284
1362.5041 A,13625041A,FBT41284
1362.5042,13625042,FBT41379
1362.5045,13625045,FBT41082
1362.5050,13625050,FBT41153
1362.5056,13625056,FBT41279
1362.5056 B,13625056B,FBT41279
1362.5059,13625059,FBT41346
1362.5059 B,13625059B,FBT41346
1362.5061,13625061,FBT41360
1362.5061 B,13625061B,FBT41360
1362.5067,13625067,FBT41319
1362.5067 D,13625067D,FBT41319
1362.5068 A,13625068A,FBT40834
1362.5070,13625070,FBT40677
1362.5071,13625071,FBT41347
1362.5071 A,13625071A,FBT41347
1372.0001,13720001,FBT41000
1372.0003,13720003,FBT40709
1372.0003 A,13720003A,FBT40709
1372.0003 F,13720003F,FBT40709
1372.0005,13720005,FBT40710
1372.0005 A,13720005A,FBT40710
1372.0005 B,13720005B,FBT40710
1372.0006,13720006,FBT40711
1372.00060,137200060,FBT40711
1372.00062,137200062,FBT40711
1372.00062 A,137200062A,FBT40711
1372.0006 A,13720006A,FBT40711
1372.0006 D,13720006D,FBT40711
1372.0007,13720007,FBT40600
1372.00070,137200070,FBT40600
1372.00072,137200072,FBT40600
1372.0007 A,13720007A,FBT40600
1372.0011,13720011,FBT41000
1372.0011 A,13720011A,FBT41000
1372.0011 C,13720011C,FBT41000
1372.0011 D,13720011D,FBT41000
1372.0016,13720016,FBT40713
1372.00160,137200160,FBT40713
1372.00162,137200162,FBT40713
1372.00162 A,137200162A,FBT40713
1372.0016 A,13720016A,FBT40713
1372.0016 C,13720016C,FBT40713
1372.0018,13720018,FBT40801
1372.0018 A,13720018A,FBT40801
1372.0018 B,13720018B,FBT40801
1372.0019,13720019,FBT40910
1372.00192 A,137200192A,FBT40910
1372.0019 A,13720019A,FBT40910
1372.0019 C,13720019C,FBT40910
1372.0022,13720022,FBT40801
1372.0022 A,13720022A,FBT40801
1372.0022 B,13720022B,FBT40801
1372.0023,13720023,FBT40911
1372.00232,137200232,FBT40911
1372.00232 A,137200232A,FBT40911
1372.0023 A,13720023A,FBT40911
1372.0023 B,13720023B,FBT40911
1372.0026,13720026,FBT41073
1372.0026 A,13720026A,FBT41073
1372.0030,13720030,FBT40824
1372.00302,137200302,FBT40824
1372.00302 A,137200302A,FBT40824
1372.0030 A,13720030A,FBT40824
1372.0030 B,13720030B,FBT40824
1372.0031,13720031,FBT40715
1372.0031 A,13720031A,FBT40715
1372.0031 C,13720031C,FBT40715
1372.0032,13720032,FBT40716
1372.0032 A,13720032A,FBT40716
1372.0032 C,13720032C,FBT40716
1372.0033,13720033,FBT40717
1372.0033 A,13720033A,FBT40717
1372.0033 C,13720033C,FBT40717
1372.0036,13720036,FBT40931
1372.00362,137200362,FBT40931
1372.00362 A,137200362A,FBT40931
1372.0036 A,13720036A,FBT40931
1372.0036 C,13720036C,FBT40931
1372.0039,13720039,FBT40949
1372.00392,137200392,FBT40949
1372.0039 A,13720039A,FBT40949
1372.0039 C,13720039C,FBT40949
1372.0040,13720040,FBT40950
1372.0040 A,13720040A,FBT40950
1372.0040 E,13720040E,FBT40950
1372.0041,13720041,FBT40825
1372.0041 A,13720041A,FBT40825
1372.0041 E,13720041E,FBT40825
1372.0041 F,13720041F,FBT40825
1372.0042,13720042,FBT40826
1372.0042 A,13720042A,FBT40826
1372.0042 C,13720042C,FBT40826
1372.0042 E,13720042E,FBT40826
1372.0045,13720045,FBT40847
1372.00450,137200450,FBT40847
1372.00452,137200452,FBT40847
1372.004520,1372004520,FBT40847
1372.00452 A,137200452A,FBT40847
1372.0045 A,13720045A,FBT40847
1372.0045 C,13720045C,FBT40847
1372.0047,13720047,FBT40827
1372.00472,137200472,FBT40827
1372.00472 A,137200472A,FBT40827
1372.0047 A,13720047A,FBT40827
1372.0047 C,13720047C,FBT40827
1372.0048,13720048,FBT40966
1372.00482 A,137200482A,FBT40966
1372.0048 A,13720048A,FBT40966
1372.0048 B,13720048B,FBT40966
1372.0052,13720052,FBT40828
1372.0052 A,13720052A,FBT40828
1372.0054,13720054,FBT40932
1372.0054 A,13720054A,FBT40932
1372.0054 C,13720054C,FBT40932
1372.0057,13720057,FBT40933
1372.0057 A,13720057A,FBT40933
1372.0057 B,13720057B,FBT40933
1372.0058,13720058,FBT40906
1372.0062 A,13720062A,FBT40828
1372.0066,13720066,FBT40828
1372.00662,137200662,FBT40828
1372.00662 A,137200662A,FBT40828
1372.0066 A,13720066A,FBT40828
1372.0067,13720067,FBT40912
1372.00672,137200672,FBT40912
1372.006720,1372006720,FBT40912
1372.00672 A,137200672A,FBT40912
1372.0067 A,13720067A,FBT40912
1372.0067 B,13720067B,FBT40912
1372.0069,13720069,FBT40915
1372.00692,137200692,FBT40915
1372.00692 A,137200692A,FBT40915
1372.0072,13720072,FBT41127
1372.00722,137200722,FBT41127
1372.0072 A,13720072A,FBT41127
1372.0072 C,13720072C,FBT41127
1372.0072 D,13720072D,FBT41127
1372.0074,13720074,FBT40913
1372.00742,137200742,FBT40913
1372.00742 A,137200742A,FBT40913
1372.0074 A,13720074A,FBT40913
1372.0075,13720075,FBT40969
1372.00752,137200752,FBT40969
1372.00752 A,137200752A,FBT40969
1372.0075 A,13720075A,FBT40969
1372.0076,13720076,FBT40914
1372.00762,137200762,FBT40914
1372.00762 A,137200762A,FBT40914
1372.0076 A,13720076A,FBT40914
1372.0078,13720078,FBT40934
1372.00782,137200782,FBT40934
1372.00782 A,137200782A,FBT40934
1372.0078 B,13720078B,FBT40934
1372.0079,13720079,FBT40935
1372.00792,137200792,FBT40935
1372.00792 A,137200792A,FBT40935
1372.0079 A,13720079A,FBT40935
1372.0080,13720080,FBT40600
1372.00802,137200802,FBT40600
1372.008020,1372008020,FBT40600
1372.00802 A,137200802A,FBT40600
1372.0080 B,13720080B,FBT40600
1372.0081,13720081,FBT40713
1372.00812,137200812,FBT40713
1372.008120,1372008120,FBT40713
1372.00812 A,137200812A,FBT40713
1372.0081 B,13720081B,FBT40713
1372.0082,13720082,FBT41001
1372.00822,137200822,FBT41001
1372.0082 A,13720082A,FBT41001
1372.0082 C,13720082C,FBT41001
1372.0082 D,13720082D,FBT41001
1372.0086,13720086,FBT41002
1372.00862,137200862,FBT41002
1372.0086 A,13720086A,FBT41002
1372.0086 C,13720086C,FBT41002
1372.0087,13720087,FBT40915
1372.00872,137200872,FBT40915
1372.008720,1372008720,FBT40915
1372.00872 A,137200872A,FBT40915
1372.0087 B,13720087B,FBT40915
1372.0088,13720088,FBT40936
1372.0088 A,13720088A,FBT40936
1372.0088 B,13720088B,FBT40936
1372.0088 C,13720088C,FBT40936
1372.0089,13720089,FBT41003
1372.0089 A,13720089A,FBT41003
1372.0089 B,13720089B,FBT41003
1372.0089 C,13720089C,FBT41003
1372.0092,13720092,FBT40916
1372.00922,137200922,FBT40916
1372.00922 A,137200922A,FBT40916
1372.0092 A,13720092A,FBT40916
1372.0092 D,13720092D,FBT40916
1372.0093,13720093,FBT40937
1372.00932,137200932,FBT40937
1372.009320,1372009320,FBT40937
1372.00932 A,137200932A,FBT40937
1372.0093 D,13720093D,FBT40937
1372.00942,137200942,FBT41004
1372.00942 A,137200942A,FBT41004
1372.0094 A,13720094A,FBT41004
1372.00962,137200962,FBT41099
1372.0096 A,13720096A,FBT41099
1372.0096 F,13720096F,FBT41099
1372.0097,13720097,FBT40950
1372.0097 A,13720097A,FBT40950
1372.0097 C,13720097C,FBT40950
1372.0099,13720099,FBT41165
1372.0099 A,13720099A,FBT41165
1372.0100 A,13720100A,FBT41074
1372.0103,13720103,FBT41166
1372.0103 B,13720103B,FBT41166
1372.0109,13720109,FBT41317
1372.0113,13720113,FBT41154
1372.01132,137201132,FBT41154
1372.0113 A,13720113A,FBT41154
1372.0116,13720116,FBT41155
1372.0116 A,13720116A,FBT41155
1372.0118,13720118,FBT41361
1372.0118 A,13720118A,FBT41361
1372.0122 A,13720122A,FBT41342
1372.0123,13720123,FBT41271
1372.0123 D,13720123D,FBT41271
1372.0124,13720124,FBT41268
1372.0124 B,13720124B,FBT41268
1372.0126,13720126,FBT41273
1372.0126 B,13720126B,FBT41273
1372.0129,13720129,FBT41272
1372.0129 C,13720129C,FBT41272
1372.0130,13720130,FBT41224
1372.0130 A,13720130A,FBT41224
1372.0131,13720131,FBT41225
1372.0131 A,13720131A,FBT41225
1372.0136,13720136,FBT41318
13720136 A,13720136A,FBT41318
1372.0232 A,13720232A,FBT40911
1372.6006,13726006,FBT40855
1372.6006 A,13726006A,FBT40855
1372.6006 B,13726006B,FBT40855
1372.6006 C,13726006C,FBT40855
1372.6007,13726007,FBT41006
1372.6007 A,13726007A,FBT41006
1372.6007 B,13726007B,FBT41006
1372.6007 C,13726007C,FBT41006
1372.6009,13726009,FBT40840
1372.6009 A,13726009A,FBT40840
1372.6010,13726010,FBT40938
1372.60100,137260100,FBT40938
1372.60102,137260102,FBT40938
1372.60102 A,137260102A,FBT40938
1372.6010 C,13726010C,FBT40938
1372.6011,13726011,FBT40864
1372.6011 A,13726011A,FBT40864
1372.6014,13726014,FBT41007
1372.6014 A,13726014A,FBT41007
1372.6014 F,13726014F,FBT41007
1372.6019,13726019,FBT41007
1372.6019 A,13726019A,FBT41007
1372.6020,13726020,FBT41008
1372.6020 A,13726020A,FBT41008
1372.6020 D,13726020D,FBT41008
1372.6023,13726023,FBT41009
1372.6023 A,13726023A,FBT41009
1372.6023 B,13726023B,FBT41009
1372.7003,13727003,FBT40808
1372.7003 A,13727003A,FBT40808
1372.7004,13727004,FBT40939
1372.7004 C,13727004C,FBT40939
1372.7006,13727006,FBT41075
1372.7006 A,13727006A,FBT41075
1372.7008,13727008,FBT40940
1372.7008 A,13727008A,FBT40940
1372.7008 D,13727008D,FBT40940
1372.7009,13727009,FBT40917
1372.7009 A,13727009A,FBT40917
1372.7009 B,13727009B,FBT40917
1372.7013,13727013,FBT40918
1372.7013 A,13727013A,FBT40918
1372.7013 C,13727013C,FBT40918
1372.7014,13727014,FBT40919
1372.7014 A,13727014A,FBT40919
1372.7014 E,13727014E,FBT40919
1372.7015,13727015,FBT41167
1372.7015 A,13727015A,FBT41167
1372.7015 D,13727015D,FBT41167
1372.7016,13727016,FBT40920
1372.7016 A,13727016A,FBT40920
1372.7016 B,13727016B,FBT40920
1372.7019,13727019,FBT40941
1372.7019 A,13727019A,FBT40941
1372.7021,13727021,FBT40942
1372.7021 A,13727021A,FBT40942
1372.7022,13727022,FBT40943
1372.7022 A,13727022A,FBT40943
1372.7024,13727024,FBT41362
1372.7024 A,13727024A,FBT41362
1372.7028,13727028,FBT41125
1372.7028 A,13727028A,FBT41125
1372.7030,13727030,FBT41010
1372.7030 A,13727030A,FBT41010
1372.7030 B,13727030B,FBT41010
1372.7033,13727033,FBT41011
1372.7033 A,13727033A,FBT41011
1372.7033 C,13727033C,FBT41011
1372.7034,13727034,FBT40944
1372.7034 A,13727034A,FBT40944
1372.7034 E,13727034E,FBT40944
1372.7035,13727035,FBT40945
1372.7035 A,13727035A,FBT40945
1372.7037,13727037,FBT40946
1372.7037 A,13727037A,FBT40946
1372.7037 C,13727037C,FBT40946
1372.7042 A,13727042A,FBT41076
1372.7042 B,13727042B,FBT41076
1372.7046,13727046,FBT41012
1372.7046 A,13727046A,FBT41012
1372.7048,13727048,FBT41077
1372.7048 A,13727048A,FBT41077
1372.7054,13727054,FBT40939
1372.7054 A,13727054A,FBT40939
1372.7059,13727059,FBT41274
1372.7059 B,13727059B,FBT41274
1372.7061,13727061,FBT41168
1372.7061 F,13727061F,FBT41168
1372.7062,13727062,FBT41169
1372.7062 F,13727062F,FBT41169
1372.7071,13727071,FBT41363
1372.7077 D,13727077D,FBT41226
1372.7081,13727081,FBT41320
1372.7083 A,13727083A,FBT40835
1372.7083 B,13727083B,FBT40835
