oem,oem_norm,fbt
003141046,003141046,FBT40350
003141047,003141047,FBT40659
003141064,003141064,FBT40666
003141065,003141065,FBT40678
003141067,003141067,FBT40173
003141068,003141068,FBT40551
003141071,003141071,FBT40152
003141072,003141072,FBT41134
003150001,003150001,FBT13756
003151101,003151101,FBT13756
003160001,003160001,FBT40240
003160002,003160002,FBT40241
003160101,003160101,FBT40058
003160102,003160102,FBT40067
003160103,003160103,FBT40068
003160104,003160104,FBT40069
003160105,003160105,FBT40097
003160106,003160106,FBT40330
003160107,003160107,FBT40329
003160108,003160108,FBT40726
003160109,003160109,FBT40727
003160110,003160110,FBT40543
003160111,003160111,FBT40766
003160112,003160112,FBT40331
003160113,003160113,FBT40724
003160114,003160114,FBT40327
003160116,003160116,FBT40679
003161101,003161101,FBT40332
003162201,003162201,FBT40546
003162202,003162202,FBT40335
003162203,003162203,FBT40334
003162204,003162204,FBT40701
003162205,003162205,FBT40550
003162206,003162206,FBT40550
003162207,003162207,FBT40333
003162208,003162208,FBT40728
003162210,003162210,FBT40434
0031692,0031692,FBT13849
003169200,003169200,FBT13849
003191001,003191001,FBT40102
003201002,003201002,FBT40080
003201004,003201004,FBT40081
003201005,003201005,FBT40153
003201006,003201006,FBT40109
003201008,003201008,FBT40199
003201009,003201009,FBT40200
003201010,003201010,FBT40199
003201011,003201011,FBT40200
003201012,003201012,FBT40199
003201013,003201013,FBT40553
003201018,003201018,FBT40837
003201019,003201019,FBT40836
003211001,003211001,FBT40038
003251001,003251001,FBT40010
003251002,003251002,FBT40155
003251003,003251003,FBT40044
003261001,003261001,FBT40006
003281004,003281004,FBT40010
003281005,003281005,FBT40044
003281007,003281007,FBT40044
003281008,003281008,FBT40412
003301001,003301001,FBT13472
003301002,003301002,FBT13758
003301003,003301003,FBT13497
003301004,003301004,FBT13845
003301005,003301005,FBT13780
003301006,003301006,FBT40003
003301007,003301007,FBT40002
003301008,003301008,FBT13538
003301010,003301010,FBT13497
003301011,003301011,FBT13538
003301014,003301014,FBT40361
003301016,003301016,FBT13823
003301018,003301018,FBT40198
003301029,003301029,FBT13758
003310101,003310101,FBT40015
003310102,003310102,FBT40016
003310103,003310103,FBT40233
003310104,003310104,FBT40233
003310105,003310105,FBT40137
003310106,003310106,FBT40254
003310107,003310107,FBT40320
003310110,003310110,FBT40136
003310111,003310111,FBT40056
